scientificName,family,decimalLatitude,decimalLongitude,genus,order
Aonyx capensis capensis,Mustelidae,-34.248745,18.852125,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-23.064854,30.125721,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-34.387824,18.391969,Aonyx,Carnivora
"Aonyx capensis (Schinz, 1821)",Mustelidae,13.169997,-12.632078,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-34.150444,22.098912,Aonyx,Carnivora
"Aonyx cinereus (Illiger, 1815)",Mustelidae,22.38093,89.199126,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-34.246838,18.452126,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-24.816189,31.650583,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-34.348681,18.414027,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-34.313987,19.431162,Aonyx,Carnivora
"Aonyx capensis (Schinz, 1821)",Mustelidae,-34.399708,18.458773,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-33.824204,22.155098,Aonyx,Carnivora
"Aonyx cinereus (Illiger, 1815)",Mustelidae,-7.737458,110.320696,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-34.374155,18.446835,Aonyx,Carnivora
"Aonyx capensis (Schinz, 1821)",Mustelidae,12.131186,15.165743,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-33.941453,18.65361,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-34.119529,19.612378,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-31.228017,24.755799,Aonyx,Carnivora
"Aonyx capensis (Schinz, 1821)",Mustelidae,-0.803013,36.711468000000004,Aonyx,Carnivora
"Aonyx capensis (Schinz, 1821)",Mustelidae,-0.1173,38.1639,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-34.17571,18.409783,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-34.260233,18.227848,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-33.929035,18.646169,Aonyx,Carnivora
"Aonyx capensis (Schinz, 1821)",Mustelidae,-34.185556,18.835936,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-33.994863,18.720528,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-34.330834,18.287749,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-34.022321,18.481368,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-34.210695,18.252573,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-34.191594,18.872328,Aonyx,Carnivora
"Aonyx capensis (Schinz, 1821)",Mustelidae,-34.036443,18.556979,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-33.958249,18.520362,Aonyx,Carnivora
"Aonyx capensis (Schinz, 1821)",Mustelidae,-12.084007,38.177485,Aonyx,Carnivora
"Aonyx cinereus (Illiger, 1815)",Mustelidae,14.520249,101.330726,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-31.33515,17.882513,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-19.19978,23.756127,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-34.37862,18.85154,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-34.013217,22.360663,Aonyx,Carnivora
"Aonyx cinereus (Illiger, 1815)",Mustelidae,9.697205,105.177409,Aonyx,Carnivora
"Aonyx cinereus (Illiger, 1815)",Mustelidae,5.196359,117.976203,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-34.067413,22.299668,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-34.202556,18.261868,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-34.229509,18.403893,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-34.307042,18.472095,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-34.183535,18.563104,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-32.923442,17.854847,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-33.103371,19.21121,Aonyx,Carnivora
"Aonyx capensis (Schinz, 1821)",Mustelidae,-34.341016,21.412458,Aonyx,Carnivora
"Aonyx capensis (Schinz, 1821)",Mustelidae,-25.728811,28.418349,Aonyx,Carnivora
Aonyx capensis capensis,Mustelidae,-30.334237,30.72319,Aonyx,Carnivora
"Aonyx capensis (Schinz, 1821)",Mustelidae,-26.351328,28.955694,Aonyx,Carnivora
