scientificName,family,decimalLatitude,decimalLongitude,genus,order
Arctocephalus pusillus pusillus,Otariidae,-34.048706,18.347223,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-45.775445,170.730713,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-42.456459,173.560047,Arctocephalus,Carnivora
Arctocephalus pusillus pusillus,Otariidae,-22.710556,14.524722,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-45.772541,170.728348,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-45.799038,170.742203,Arctocephalus,Carnivora
"Arctocephalus australis (Zimmermann, 1783)",Otariidae,-29.582318,-71.536302,Arctocephalus,Carnivora
"Arctocephalus australis (Zimmermann, 1783)",Otariidae,-32.235009,-71.527574,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-37.831655,176.884028,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-42.426357,173.714405,Arctocephalus,Carnivora
"Arctocephalus australis (Zimmermann, 1783)",Otariidae,-29.02714,-71.587898,Arctocephalus,Carnivora
Arctocephalus pusillus pusillus,Otariidae,-33.966851,18.371848,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-45.952768,170.386604,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-45.952087,170.387156,Arctocephalus,Carnivora
"Arctocephalus pusillus (Schreber, 1775)",Otariidae,-33.927854,121.972543,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-42.461105,173.55779,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-42.461095,173.557775,Arctocephalus,Carnivora
Arctocephalus pusillus pusillus,Otariidae,-34.365375,18.899842,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-44.605505,167.855473,Arctocephalus,Carnivora
"Arctocephalus australis (Zimmermann, 1783)",Otariidae,-34.404993,-53.77829,Arctocephalus,Carnivora
"Arctocephalus pusillus (Schreber, 1775)",Otariidae,-38.526527,145.098842,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-44.60938,167.836233,Arctocephalus,Carnivora
"Arctocephalus pusillus (Schreber, 1775)",Otariidae,-38.4,142.5,Arctocephalus,Carnivora
"Arctocephalus gazella (Peters, 1875)",Otariidae,-63.520542,-56.886795,Arctocephalus,Carnivora
"Arctocephalus pusillus (Schreber, 1775)",Otariidae,-38.279517,144.722496,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-46.447429,169.816959,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-46.661842,169.097725,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-46.446784,169.80406,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-45.775775,170.729818,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-45.775775,170.729818,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-45.799214,170.741972,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-45.775775,170.729818,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-45.775775,170.729818,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-45.775645,170.730495,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-45.79686,170.74069,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-45.110407,170.9807,Arctocephalus,Carnivora
"Arctocephalus gazella (Peters, 1875)",Otariidae,-54.156389,-36.709722,Arctocephalus,Carnivora
"Arctocephalus gazella (Peters, 1875)",Otariidae,-54.156769,-36.709896,Arctocephalus,Carnivora
"Arctocephalus gazella (Peters, 1875)",Otariidae,-54.156414,-36.708984,Arctocephalus,Carnivora
"Arctocephalus gazella (Peters, 1875)",Otariidae,-54.284092,-36.507439,Arctocephalus,Carnivora
"Arctocephalus gazella (Peters, 1875)",Otariidae,-54.156478,-36.709506,Arctocephalus,Carnivora
"Arctocephalus gazella (Peters, 1875)",Otariidae,-54.15596,-36.713253,Arctocephalus,Carnivora
"Arctocephalus gazella (Peters, 1875)",Otariidae,-54.156389,-36.710278,Arctocephalus,Carnivora
"Arctocephalus gazella (Peters, 1875)",Otariidae,-54.156025,-36.712845,Arctocephalus,Carnivora
"Arctocephalus gazella (Peters, 1875)",Otariidae,-54.15597,-36.709382,Arctocephalus,Carnivora
"Arctocephalus gazella (Peters, 1875)",Otariidae,-54.156227,-36.710819,Arctocephalus,Carnivora
"Arctocephalus forsteri (Lesson, 1828)",Otariidae,-39.060348,174.021477,Arctocephalus,Carnivora
"Arctocephalus gazella (Peters, 1875)",Otariidae,-54.284722,-36.507222,Arctocephalus,Carnivora
"Arctocephalus gazella (Peters, 1875)",Otariidae,-54.284722,-36.507222,Arctocephalus,Carnivora
"Arctocephalus gazella (Peters, 1875)",Otariidae,-54.284722,-36.507222,Arctocephalus,Carnivora
