scientificName,family,decimalLatitude,decimalLongitude,genus,order
Atilax paludinosus paludinosus,Herpestidae,-33.945688,22.463581,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-28.97422,31.746387,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-33.945599,22.463753,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,0.436367,14.71077,Atilax,Carnivora
Atilax paludinosus paludinosus,Herpestidae,-33.945635,22.463646,Atilax,Carnivora
Atilax paludinosus paludinosus,Herpestidae,-33.945599,22.46371,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-25.591239,28.331269,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-30.678863,30.498428,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-34.20814,18.40139,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-34.20814,18.40139,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-34.08858,18.474504,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-33.595797,23.405646,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-34.20814,18.40139,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-34.082261,18.427135,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-34.081558,18.426978,Atilax,Carnivora
Atilax paludinosus paludinosus,Herpestidae,-33.942627,22.462401,Atilax,Carnivora
Atilax paludinosus paludinosus,Herpestidae,-33.942324,22.462444,Atilax,Carnivora
Atilax paludinosus paludinosus,Herpestidae,-33.942431,22.462444,Atilax,Carnivora
Atilax paludinosus paludinosus,Herpestidae,-33.943517,22.461629,Atilax,Carnivora
Atilax paludinosus paludinosus,Herpestidae,-33.942716,22.462315,Atilax,Carnivora
Atilax paludinosus paludinosus,Herpestidae,-33.944488,22.466356,Atilax,Carnivora
Atilax paludinosus paludinosus,Herpestidae,-33.942575,22.462588,Atilax,Carnivora
Atilax paludinosus paludinosus,Herpestidae,-33.942573,22.462509,Atilax,Carnivora
Atilax paludinosus paludinosus,Herpestidae,-33.942449,22.462315,Atilax,Carnivora
Atilax paludinosus paludinosus,Herpestidae,-33.942092,22.462273,Atilax,Carnivora
Atilax paludinosus paludinosus,Herpestidae,-33.942181,22.462337,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-33.943,22.462358,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-33.942449,22.462058,Atilax,Carnivora
Atilax paludinosus paludinosus,Herpestidae,-33.947577,22.463963,Atilax,Carnivora
Atilax paludinosus paludinosus,Herpestidae,-30.277358,30.739258,Atilax,Carnivora
Atilax paludinosus paludinosus,Herpestidae,-33.946047,22.464045,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,11.903472,-15.726998,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-34.060023,18.499866,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-25.738385,32.728437,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-0.1173,38.1639,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,12.14122,2.403137,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,12.14122,2.403137,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-33.841887,18.490947,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-34.029177,18.956348,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-34.061192,18.502944,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-34.061192,18.502944,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-34.061192,18.502944,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-3.264964,37.229615,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-34.088978,18.938325,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-33.943677,22.461436,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-33.943677,22.461521,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-33.943677,22.461521,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-1.424362,34.954072,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,-33.943695,22.4615,Atilax,Carnivora
Atilax paludinosus G,Herpestidae,0.589644,14.882402,Atilax,Carnivora
