scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",Procyonidae,-0.135861,-78.730488,Bassaricyon,Carnivora
"Bassaricyon alleni Thomas, 1880",Procyonidae,-0.541111,-77.6275,Bassaricyon,Carnivora
"Bassaricyon alleni Thomas, 1880",Procyonidae,-12.338689,-70.721944,Bassaricyon,Carnivora
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",Procyonidae,0.109244,-78.775601,Bassaricyon,Carnivora
"Bassaricyon gabbii J.A.Allen, 1876",Procyonidae,10.3025,-84.7961,Bassaricyon,Carnivora
"Bassaricyon gabbii J.A.Allen, 1876",Procyonidae,8.722222,-82.2375,Bassaricyon,Carnivora
"Bassaricyon gabbii J.A.Allen, 1876",Procyonidae,10.302168,-84.796223,Bassaricyon,Carnivora
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",Procyonidae,4.048306,-76.458639,Bassaricyon,Carnivora
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",Procyonidae,4.048778,-76.457861,Bassaricyon,Carnivora
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",Procyonidae,4.049056,-76.457472,Bassaricyon,Carnivora
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",Procyonidae,4.049056,-76.457472,Bassaricyon,Carnivora
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",Procyonidae,5.520928,-75.008392,Bassaricyon,Carnivora
"Bassaricyon alleni Thomas, 1880",Procyonidae,-1.104238,-76.731723,Bassaricyon,Carnivora
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",Procyonidae,-0.022327,-78.605451,Bassaricyon,Carnivora
"Bassaricyon gabbii J.A.Allen, 1876",Procyonidae,10.303938,-84.795726,Bassaricyon,Carnivora
"Bassaricyon gabbii J.A.Allen, 1876",Procyonidae,10.302333,-84.796139,Bassaricyon,Carnivora
"Bassaricyon gabbii J.A.Allen, 1876",Procyonidae,10.302316,-84.796096,Bassaricyon,Carnivora
"Bassaricyon medius Thomas, 1909",Procyonidae,0.031916,-78.963499,Bassaricyon,Carnivora
"Bassaricyon medius Thomas, 1909",Procyonidae,0.031916,-78.963499,Bassaricyon,Carnivora
"Bassaricyon gabbii J.A.Allen, 1876",Procyonidae,10.301345,-84.80162,Bassaricyon,Carnivora
"Bassaricyon gabbii J.A.Allen, 1876",Procyonidae,10.302414,-84.795813,Bassaricyon,Carnivora
"Bassaricyon gabbii J.A.Allen, 1876",Procyonidae,10.302759,-84.795485,Bassaricyon,Carnivora
"Bassaricyon gabbii J.A.Allen, 1876",Procyonidae,10.302196,-84.796188,Bassaricyon,Carnivora
"Bassaricyon gabbii J.A.Allen, 1876",Procyonidae,10.355353,-84.816842,Bassaricyon,Carnivora
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",Procyonidae,-0.117451,-78.660096,Bassaricyon,Carnivora
"Bassaricyon gabbii J.A.Allen, 1876",Procyonidae,3.570528,-76.580889,Bassaricyon,Carnivora
"Bassaricyon medius Thomas, 1909",Procyonidae,3.584167,-76.583055,Bassaricyon,Carnivora
"Bassaricyon medius Thomas, 1909",Procyonidae,3.584167,-76.583055,Bassaricyon,Carnivora
"Bassaricyon gabbii J.A.Allen, 1876",Procyonidae,10.309792,-84.820183,Bassaricyon,Carnivora
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",Procyonidae,-0.168137,-78.733027,Bassaricyon,Carnivora
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",Procyonidae,5.797583,-75.224528,Bassaricyon,Carnivora
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",Procyonidae,0.875764,-78.286039,Bassaricyon,Carnivora
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",Procyonidae,-0.107469,-78.628628,Bassaricyon,Carnivora
"Bassaricyon gabbii J.A.Allen, 1876",Procyonidae,8.722303,-82.23743,Bassaricyon,Carnivora
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",Procyonidae,5.620946,-75.906086,Bassaricyon,Carnivora
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",Procyonidae,-0.126418,-78.764565,Bassaricyon,Carnivora
"Bassaricyon gabbii J.A.Allen, 1876",Procyonidae,10.622643,-84.943375,Bassaricyon,Carnivora
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",Procyonidae,-0.188115,-78.621542,Bassaricyon,Carnivora
"Bassaricyon neblina Helgen, Pinto, Kays, Helgen, Tsuchiya, Quinn, Wilson & Maldonado, 2013",Procyonidae,-0.153352,-78.789159,Bassaricyon,Carnivora
