scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,29.814571,-98.54825,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,30.751816,-97.765765,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,30.76759,-97.709178,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,30.767851,-97.783308,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,30.603706,-97.660065,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,30.783926,-97.773674,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,30.782881,-97.727927,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,30.600685,-97.693486,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,30.679931,-97.626325,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,29.737574,-100.963966,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,30.653078,-97.788675,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,23.604438,-99.206428,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,23.584767,-99.210137,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,30.610225,-97.743652,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,30.731668,-97.699381,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,30.78733,-97.611368,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,30.751618,-97.697772,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,19.873322,-101.3907,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,19.397624,-99.386444,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,20.522189,-100.388111,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,19.302157,-99.186553,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,31.915688,-106.509336,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,30.7313,-97.781851,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,30.660913999999998,-97.756135,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,30.638818,-97.79694,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,30.616582,-97.723935,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,30.770846,-97.678822,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,30.703149,-97.759826,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,30.688758,-97.603133,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,19.040743,-98.136953,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,37.63339,-119.956046,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,20.522217,-100.388056,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,18.896852,-98.567189,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,18.896883,-98.567229,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,19.306081,-98.977672,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,19.392811,-98.113466,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,19.338448,-99.128895,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,31.887777,-116.682503,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,23.074892,-104.577806,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,25.60199,-100.219888,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,19.285405,-99.092453,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,19.322913,-99.184596,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,20.522189,-100.38794,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,20.43083,-100.797945,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,29.889736,-97.935768,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,19.321284,-99.193435,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,20.430604,-100.798334,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,19.322273,-99.194634,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,19.335955,-98.197153,Bassariscus,Carnivora
"Bassariscus astutus (Lichtenstein, 1830)",Procyonidae,29.889828,-97.935678,Bassariscus,Carnivora
