scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Bdeogale nigripes Pucheran, 1855",Herpestidae,0.747032,15.268688,Bdeogale,Carnivora
Bdeogale Peters,Herpestidae,-4.357653,39.416695,Bdeogale,Carnivora
"Bdeogale crassicauda Peters, 1852",Herpestidae,-4.910443,29.598755,Bdeogale,Carnivora
"Bdeogale crassicauda Peters, 1852",Herpestidae,-7.766207,38.233102,Bdeogale,Carnivora
"Bdeogale crassicauda Peters, 1852",Herpestidae,-5.101118,38.629609,Bdeogale,Carnivora
"Bdeogale crassicauda Peters, 1852",Herpestidae,-12.931748,31.926098,Bdeogale,Carnivora
"Bdeogale crassicauda Peters, 1852",Herpestidae,-12.934719,31.927172,Bdeogale,Carnivora
"Bdeogale crassicauda Peters, 1852",Herpestidae,-9.519428,27.035986,Bdeogale,Carnivora
"Bdeogale crassicauda Peters, 1852",Herpestidae,-7.760885,38.229439,Bdeogale,Carnivora
"Bdeogale crassicauda Peters, 1852",Herpestidae,-3.375,39.875,Bdeogale,Carnivora
"Bdeogale crassicauda Peters, 1852",Herpestidae,-5.0921,38.630283,Bdeogale,Carnivora
"Bdeogale jacksoni (Thomas, 1894)",Herpestidae,-0.4324,36.6463,Bdeogale,Carnivora
"Bdeogale crassicauda Peters, 1852",Herpestidae,-3.14255,35.68669,Bdeogale,Carnivora
"Bdeogale crassicauda Peters, 1852",Herpestidae,-3.242,36.78736,Bdeogale,Carnivora
"Bdeogale jacksoni (Thomas, 1894)",Herpestidae,-0.4324,36.6463,Bdeogale,Carnivora
"Bdeogale nigripes Pucheran, 1855",Herpestidae,-2.2225,10.405833,Bdeogale,Carnivora
"Bdeogale nigripes Pucheran, 1855",Herpestidae,3.16667,13.61667,Bdeogale,Carnivora
"Bdeogale nigripes Pucheran, 1855",Herpestidae,3.16667,13.61667,Bdeogale,Carnivora
"Bdeogale nigripes Pucheran, 1855",Herpestidae,3.16667,13.61667,Bdeogale,Carnivora
"Bdeogale nigripes Pucheran, 1855",Herpestidae,3.16667,13.61667,Bdeogale,Carnivora
"Bdeogale nigripes Pucheran, 1855",Herpestidae,3.16667,13.61667,Bdeogale,Carnivora
"Bdeogale nigripes Pucheran, 1855",Herpestidae,3.16667,13.61667,Bdeogale,Carnivora
"Bdeogale nigripes Pucheran, 1855",Herpestidae,3.16667,13.61667,Bdeogale,Carnivora
"Bdeogale nigripes Pucheran, 1855",Herpestidae,3.16667,13.61667,Bdeogale,Carnivora
"Bdeogale nigripes Pucheran, 1855",Herpestidae,3.16667,13.61667,Bdeogale,Carnivora
"Bdeogale nigripes Pucheran, 1855",Herpestidae,3.16667,13.61667,Bdeogale,Carnivora
"Bdeogale nigripes Pucheran, 1855",Herpestidae,3.16667,13.61667,Bdeogale,Carnivora
"Bdeogale nigripes Pucheran, 1855",Herpestidae,0.46667,25.55,Bdeogale,Carnivora
"Bdeogale nigripes Pucheran, 1855",Herpestidae,0.46667,25.55,Bdeogale,Carnivora
"Bdeogale nigripes Pucheran, 1855",Herpestidae,0.46667,25.55,Bdeogale,Carnivora
"Bdeogale nigripes Pucheran, 1855",Herpestidae,0.46667,25.55,Bdeogale,Carnivora
"Bdeogale nigripes Pucheran, 1855",Herpestidae,0.46667,25.55,Bdeogale,Carnivora
"Bdeogale nigripes Pucheran, 1855",Herpestidae,0.46667,25.55,Bdeogale,Carnivora
"Bdeogale jacksoni (Thomas, 1894)",Herpestidae,0.203869,35.105001,Bdeogale,Carnivora
"Bdeogale jacksoni (Thomas, 1894)",Herpestidae,0.328889,34.996329,Bdeogale,Carnivora
"Bdeogale jacksoni (Thomas, 1894)",Herpestidae,0.203869,35.105001,Bdeogale,Carnivora
"Bdeogale crassicauda Peters, 1852",Herpestidae,-1.77,40.82,Bdeogale,Carnivora
"Bdeogale crassicauda Peters, 1852",Herpestidae,-2.5333,40.51667,Bdeogale,Carnivora
"Bdeogale crassicauda Peters, 1852",Herpestidae,-2.5333,40.51667,Bdeogale,Carnivora
"Bdeogale crassicauda Peters, 1852",Herpestidae,-3.36075,39.97333,Bdeogale,Carnivora
"Bdeogale crassicauda Peters, 1852",Herpestidae,-3.36075,39.97333,Bdeogale,Carnivora
"Bdeogale crassicauda Peters, 1852",Herpestidae,-1.48333,37.05,Bdeogale,Carnivora
"Bdeogale crassicauda Peters, 1852",Herpestidae,-3.333333,40.016667,Bdeogale,Carnivora
"Bdeogale crassicauda Peters, 1852",Herpestidae,-1.450713,36.98245,Bdeogale,Carnivora
"Bdeogale nigripes Pucheran, 1855",Herpestidae,0.78333,11.91667,Bdeogale,Carnivora
"Bdeogale crassicauda Peters, 1852",Herpestidae,-3.333333,40.016667,Bdeogale,Carnivora
"Bdeogale crassicauda Peters, 1852",Herpestidae,-5.1,38.63333,Bdeogale,Carnivora
"Bdeogale jacksoni (Thomas, 1894)",Herpestidae,-1.183333,36.650001,Bdeogale,Carnivora
"Bdeogale crassicauda omnivora Heller, 1913",Herpestidae,-4.233333,39.583332,Bdeogale,Carnivora
"Bdeogale crassicauda omnivora Heller, 1913",Herpestidae,-3.23333,35.75,Bdeogale,Carnivora
