scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,45.846635,-123.827577,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,46.889247,-124.088176,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,36.798924,-121.99769,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,38.175773,142.043166,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,56.3728,-151.901842,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,37.401847,-122.475561,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,57.122047,-170.20462,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,57.338425,-170.09572,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,57.140042,-170.393081,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,57.093626,-170.378915,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,48.870223,-126.439946,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,48.864881,-126.561896,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,37.652435,-123.112487,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,55.28128,165.667148,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,37.227217,-122.906519,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,37.282385,-122.712326,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,37.781716,-123.045754,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,37.245819,-122.874515,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,37.499419,-122.661942,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,36.944686,-122.118282,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,46.967799,-124.26409,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,37.712442,-123.113061,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,37.64191,-123.134732,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,37.700523,-123.05483,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,37.638252,-123.000928,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,38.12491,-122.8107,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,37.752457,-123.039269,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,46.815447,-124.947498,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,36.766143,-121.867562,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,36.681474,-122.310083,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,37.738102,-123.168116,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,37.637991,-123.189371,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,46.083057,-123.915556,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,37.737017,-123.187993,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,36.842789,-122.105044,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,36.739837,-122.839356,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,36.685627,-122.014236,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,36.860796,-121.907137,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,37.71336,-123.06344,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,36.639904,-122.165961,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,44.47791,-124.698483,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,44.526331,-124.795963,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,44.353618,-124.942432,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,36.625105,-121.975753,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,57.192425,-170.341149,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,36.766704,-122.022356,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,48.883306,-126.404012,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,36.989856,-121.972012,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,48.943386,-126.229389,Callorhinus,Carnivora
"Callorhinus ursinus (Linnaeus, 1758)",Otariidae,38.072653,-123.525222,Callorhinus,Carnivora
