scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-17.978278,25.710179,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-17.978278,25.710179,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,3.77895,29.524097,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-24.471826,31.24218,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-25.128577,31.662198,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-2.898108,35.117864,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-25.114955,31.88926,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-23.32372,31.306525,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-18.965279,22.724722,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-24.154952,31.644883,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-24.481207,31.644676,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-33.445227,25.709771,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-24.478241,31.719447,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-2.650525,34.894183,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-22.473487,31.27176,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-24.960535,26.870614,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-15.890715,34.744782,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-1.47698,35.092777,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-0.356166,36.100211,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-2.652016,37.260767,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-1.072804,35.25736,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-2.764059,35.141327,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-28.217881,31.968019,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-0.605269,29.691985,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-28.003408,32.093538,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-25.060704,31.37596,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,10.877143,19.81958,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,10.87706,19.81964,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,10.856467,19.8045,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,9.854258,10.303018,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,10.805672,19.76082,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,10.80724,19.763153,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,10.80651,19.762377999999998,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-2.45935,34.871107,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,10.877062,19.819668,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,10.807242,19.763148,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,10.84992,19.799435,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,11.369238,1.576542,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-2.65688,37.247658,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-25.192005,31.405138,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-3.165866,35.534796,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-26.224771,20.65433,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-1.083736,35.238155,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-11.911424,32.265389,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-1.406109,34.906311,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-0.375,36.125,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-18.80601,16.855986,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-19.177304,16.227466,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,11.396903,1.669708,Crocuta,Carnivora
"Crocuta crocuta (Erxleben, 1777)",Hyaenidae,-2.678882,37.275419,Crocuta,Carnivora
