scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.189174,44.724734,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.727263,44.169367,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.076044,44.610222,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.06719,44.657306,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.06719,44.657306,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-18.766947,46.869107,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.949004,44.215687,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.949324,44.215,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.067197,44.657332,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.067051,44.657333,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.068985,44.661777,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.133232,44.66962,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.066885,44.657288,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.178216,44.620441,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.178216,44.620441,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.067366,44.657104,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.069934,44.596462,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.067246,44.658323,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-15.012526,47.242155,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.07,44.6569,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.067051,44.657333,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.070967,44.653123,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-12.543648,49.158402,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.720286,44.164116,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.727468,44.079004,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-20.080439,44.599342,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-18.78065,48.296448,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-12.4333,49.266701,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-24.333333,43.583333,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-25.032011,46.989688,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-22.1486,48.016701,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-22.133333,47.033333,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-23.296145,43.716667,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-19.296434,47.175781,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-19.296434,47.175781,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-18.774069,46.899207,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-19.296434,47.175781,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,0,0,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-18.91545,47.53161,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-18.91545,47.53161,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-25.19861,46.633057,Cryptoprocta,Carnivora
"Cryptoprocta Bennett, 1833",Eupleridae,-22.50111,45.60611,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-18.774069,46.899207,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-18.82016,49.06313,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-18.91545,47.53161,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-18.91545,47.53161,Cryptoprocta,Carnivora
"Cryptoprocta ferox Bennett, 1833",Eupleridae,-18.91545,47.53161,Cryptoprocta,Carnivora
