scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Cuon alpinus (Pallas, 1811)",Canidae,22.260492,80.697148,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,11.455991,76.653028,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,22.281288,80.726108,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,22.038104,80.773255,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,12.350968,75.8667,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,11.874343,76.35613,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,20.353482,79.247182,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,12.253375,77.254125,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,11.845842,75.906354,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,20.342983,79.298086,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,23.631913,80.923691,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,12.307016,77.294322,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,14.428325,101.340683,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,14.478568,101.349345,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,12.044825,76.087832,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,22.526552,78.026535,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,20.240808,79.219644,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,21.248069,79.986407,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,12.101331,76.129089,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,13.433582,104.621286,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,10.323195,76.909622,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,20.254015,79.214502,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,11.730999,76.988079,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,26.486432,90.564406,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,14.07,105.42,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,14.07,105.42,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,19.893175,79.459731,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,11.983419,76.166392,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,26.798987,89.513719,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,9.420297,77.035456,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,20.248466,79.425377,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,12.012581,76.179929,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,11.783792,76.204302,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,14.440213,101.245895,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,11.546298,76.711906,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,22.465134,78.012886,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,11.667678,76.632607,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,21.431343,92.521111,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,20.199057,79.414673,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,12.124236,76.159332,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,22.460344,88.368255,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,9.457021,77.266488,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,14.410029,101.3068,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,12.171394,76.237334,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,11.440666,76.43347,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,14.02,105.32,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,14.02,105.32,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,14.02,105.32,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,20.246479,79.215953,Cuon,Carnivora
"Cuon alpinus (Pallas, 1811)",Canidae,20.300794,79.223782,Cuon,Carnivora
