scientificName,family,decimalLatitude,decimalLongitude,genus,order
Cynictis penicillata G,Herpestidae,-32.375475,22.475,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-32.194485,25.471665,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-32.202827,25.475788,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-33.408829,25.782985,Cynictis,Carnivora
"Cynictis penicillata bradfieldi Roberts, 1924",Herpestidae,-24.429619,18.101576,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-25.76654,20.000283,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-24.427433,18.103992,Cynictis,Carnivora
Cynictis penicillata penicillata,Herpestidae,-34.821818,20.023486,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-34.821798,20.023622,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-25.962481,27.785073,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-25.766475,19.999938,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-26.184322,20.546725,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-21.288307,23.711978,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-33.901868,20.294725,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-33.885353,20.314232,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-33.978379,25.645283,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-33.473457,25.74788,Cynictis,Carnivora
Cynictis penicillata penicillata,Herpestidae,-25.864808,28.274875,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-19.036183,16.469745,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-33.791402,20.11552,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-25.908683,28.303186,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-25.776365,28.23981,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-33.341985,18.782437,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-28.614525,24.820616,Cynictis,Carnivora
Cynictis penicillata penicillata,Herpestidae,-29.100142,24.389909,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-33.59778,22.198317,Cynictis,Carnivora
"Cynictis penicillata bradfieldi Roberts, 1924",Herpestidae,-25.541123,20.390922,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-18.754333,16.691873,Cynictis,Carnivora
Cynictis penicillata penicillata,Herpestidae,-33.791411,20.115493,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-24.539361,21.460471,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-24.520464,21.128413,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-26.767445,27.687375,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-21.763425,16.848854,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-25.902639,28.307109,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-33.423474,25.791181,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-33.428813,18.747808,Cynictis,Carnivora
Cynictis penicillata penicillata,Herpestidae,-33.457505,25.804181,Cynictis,Carnivora
Cynictis penicillata penicillata,Herpestidae,-33.444637,25.783485,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-33.489141,25.81908,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-33.443736,25.79119,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-26.151429,20.526599,Cynictis,Carnivora
Cynictis penicillata penicillata,Herpestidae,-25.886771,28.311401,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-20.485713,17.037032,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-27.842988,22.509982,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-26.287267,28.009025,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-18.939566,16.307658,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-33.461349,25.808235,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-19.01186,16.356343,Cynictis,Carnivora
Cynictis penicillata G,Herpestidae,-24.809423,25.858905,Cynictis,Carnivora
Cynictis pencillata,Herpestidae,-28.589346,20.269775,Cynictis,Carnivora
