scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Dologale dybowskii (Pousargues, 1893)",Herpestidae,3.757717,29.524813,Dologale,Carnivora
"Dologale dybowskii (Pousargues, 1893)",Herpestidae,-0.3685,30.1179,Dologale,Carnivora
"Dologale dybowskii (Pousargues, 1893)",Herpestidae,-0.3685,30.1179,Dologale,Carnivora
"Dologale dybowskii (Pousargues, 1893)",Herpestidae,4.416667,29.75,Dologale,Carnivora
"Dologale dybowskii (Pousargues, 1893)",Herpestidae,4.416667,32.566666,Dologale,Carnivora
"Dologale dybowskii (Pousargues, 1893)",Herpestidae,3.7,27.866694,Dologale,Carnivora
"Dologale dybowskii (Pousargues, 1893)",Herpestidae,3.733333,29.716694,Dologale,Carnivora
"Dologale dybowskii (Pousargues, 1893)",Herpestidae,3.733333,29.716694,Dologale,Carnivora
"Dologale dybowskii (Pousargues, 1893)",Herpestidae,3.733333,29.716694,Dologale,Carnivora
"Dologale dybowskii (Pousargues, 1893)",Herpestidae,3.733333,29.716694,Dologale,Carnivora
"Dologale dybowskii (Pousargues, 1893)",Herpestidae,3.733333,29.716694,Dologale,Carnivora
"Dologale dybowskii (Pousargues, 1893)",Herpestidae,3.733333,29.716694,Dologale,Carnivora
