scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Eira barbara (Linnaeus, 1758)",Mustelidae,-0.002294,-78.673281,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,-25.687826,-54.405402,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,21.37325,-89.318244000000007,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,21.280392,-89.312862,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,8.660939,-83.139961,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,-0.017483,-78.682776,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,21.276235,-89.268912,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,17.090288,-88.652206,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,8.387298,-83.290066,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,-0.017732,-78.681183,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,18.573039,-89.05569,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,19.326473,-89.672789,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,7.123967,-73.119359,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,10.699572,-84.191017,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,8.490226,-83.306133,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,8.490736,-83.307471,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,20.691471,-87.326096,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,3.522326,-73.412081,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,-0.51008,-76.325841,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,10.387853,-84.597362,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,8.443622,-83.46386,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,8.448204,-83.483002,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,10.203117,-84.485786,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,8.699969,-83.203369,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,0.165953,-78.888213,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,3.523247,-73.406327,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,3.523936,-73.40724,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,-0.0312,-78.721954,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,0.1597,-78.856195,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,3.522877,-73.411417,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,3.522877,-73.411417,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,8.45775,-83.460088,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,8.639236,-83.224527,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,7.01173,-73.672964,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,8.45418,-83.512262,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,-9.555626,-55.921565,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,19.86244,-88.744415,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,5.946667,-74.279111,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,5.619526,-75.83669,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,-12.565106,-70.102856,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,9.8535,-85.260546,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,17.237535,-91.468146,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,-27.217792,-49.733605,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,-22.431784,-44.61548,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,-22.432047,-44.616072,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,-0.069674,-76.163583,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,-0.028839,-78.762188,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,0.003007,-78.678556,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,0.008507,-78.680063,Eira,Carnivora
"Eira barbara (Linnaeus, 1758)",Mustelidae,-25.854038,-53.958864,Eira,Carnivora
