scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.826324,-121.610913,Enhydra,Carnivora
"Enhydra lutris (Linnaeus, 1758)",Mustelidae,35.39297,-120.88124,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.196133,-121.613319,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.114504,-121.780219,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.896618,-121.830844,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.839485,-121.614757,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.866523,-121.779825,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.179963,-121.725738,Enhydra,Carnivora
"Enhydra lutris (Linnaeus, 1758)",Mustelidae,36.834168,-121.703803,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.410253,-121.996611,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.449478,-121.840589,Enhydra,Carnivora
"Enhydra lutris (Linnaeus, 1758)",Mustelidae,35.236854,-120.81391,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.881988,-121.600358,Enhydra,Carnivora
"Enhydra lutris (Linnaeus, 1758)",Mustelidae,36.600576,-121.902552,Enhydra,Carnivora
"Enhydra lutris (Linnaeus, 1758)",Mustelidae,35.280342,-120.992979,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,35.247412,-120.809874,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.86411,-121.729548,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.893601,-121.684846,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.777336,-121.94289,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.914858,-121.752604,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.809148,-121.680931,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.888211,-121.658619,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.806708,-121.757232,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.877281,-121.66354,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.941664,-121.784772,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.99384,-121.659624,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.861851,-121.751402,Enhydra,Carnivora
"Enhydra lutris (Linnaeus, 1758)",Mustelidae,35.234257,-120.874259,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,35.200084,-120.845905,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.896544,-121.626413,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.828183,-121.750894,Enhydra,Carnivora
"Enhydra lutris (Linnaeus, 1758)",Mustelidae,35.382732,-120.945495,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.898322,-121.784227,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.859384,-121.689256,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.73028,-121.921213,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.628754,-121.762507,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.842209,-121.742181,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.85348,-121.643019,Enhydra,Carnivora
"Enhydra lutris (Linnaeus, 1758)",Mustelidae,35.324545,-120.938967,Enhydra,Carnivora
"Enhydra lutris (Linnaeus, 1758)",Mustelidae,35.337175,-120.812865,Enhydra,Carnivora
"Enhydra lutris (Linnaeus, 1758)",Mustelidae,35.337294,-120.906923,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.813883,-121.772433,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.762717,-121.91537,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,35.312873,-120.839891,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.623079,-121.802016,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.997878,-122.181606,Enhydra,Carnivora
"Enhydra lutris (Linnaeus, 1758)",Mustelidae,35.296026,-120.850781,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,35.153283,-120.764143,Enhydra,Carnivora
"Enhydra lutris (Linnaeus, 1758)",Mustelidae,47.750855,-124.326602,Enhydra,Carnivora
"Enhydra lutris nereis (Merriam, 1904)",Mustelidae,36.403046,-121.971563,Enhydra,Carnivora
