scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Eumetopias jubatus (Schreber, 1776)",Otariidae,55.212362,-131.663691,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,53.092117,158.518577,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,35.416444,-121.167703,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,55.428963,-131.893686,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,48.43398,-123.220861,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,55.027685,-162.2763,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,48.578993,-123.363729,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,48.436678,-123.300546,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,45.976183,-122.940354,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,48.77003,-123.180672,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,57.069745,-135.27959,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,37.722577,-123.053283,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,36.871664,-122.075098,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,45.367005,-123.952643,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,57.15721,-135.292897,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,45.840985,-122.92473,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,36.836715,-121.855294,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,57.020663,-135.399051,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,52.71971,-128.406448,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,57.043987,-135.306804,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,49.251834,-123.306136,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,48.121801,-123.493215,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,45.794934,-123.986944,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,48.236982,-123.415647,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,49.373493,-123.817779,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,46.011895,-123.950504,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,41.082694,-124.000373,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,57.041276,-135.290658,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,49.218195,-123.959756,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,44.658453,-124.088598,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,40.834839,-124.04424,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,43.365328,-124.421983,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,50.465927,-126.682185,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,34.104776,-119.405603,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,37.658865,-122.459941,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,49.337618,-124.355617,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,48.903439,-123.262759,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,49.406997,-124.67369,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,48.879358,-123.348248,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,57.005519,-135.285649,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,57.181685,-135.27874,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,53.114602,158.589272,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,49.320069,-124.406221,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,40.921616,-124.159909,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,49.182764,-125.849468,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,57.78861,-136.271821,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,59.897433,-149.34128,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,48.651967,-122.900208,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,48.817781,-125.684901,Eumetopias,Carnivora
"Eumetopias jubatus (Schreber, 1776)",Otariidae,48.810718,-125.714612,Eumetopias,Carnivora
