scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Eupleres Doyère, 1835",Eupleridae,-12.323064,49.295018,Eupleres,Carnivora
"Eupleres Doyère, 1835",Eupleridae,-17.316267,47.43288,Eupleres,Carnivora
Eupleres goudotii goudotii,Eupleridae,-20,47,Eupleres,Carnivora
Eupleres goudotii goudotii,Eupleridae,-19.296434,47.175781,Eupleres,Carnivora
"Eupleres Doyère, 1835",Eupleridae,-15.410904,49.744856,Eupleres,Carnivora
"Eupleres goudotii major Lavauden, 1929",Eupleridae,-20.946269,47.450072,Eupleres,Carnivora
"Eupleres goudotii major Lavauden, 1929",Eupleridae,-20.946269,47.450072,Eupleres,Carnivora
Eupleres goudotii goudotii,Eupleridae,-18.798329,48.601526,Eupleres,Carnivora
Eupleres goudotii goudotii,Eupleridae,-19.296434,47.175781,Eupleres,Carnivora
Eupleres goudotii goudotii,Eupleridae,-19.296434,47.175781,Eupleres,Carnivora
"Eupleres goudotii Doyère, 1835",Eupleridae,-18.91545,47.53161,Eupleres,Carnivora
"Eupleres goudotii Doyère, 1835",Eupleridae,-18.91545,47.53161,Eupleres,Carnivora
"Eupleres goudotii Doyère, 1835",Eupleridae,-18.91545,47.53161,Eupleres,Carnivora
