scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Fossa fossana (Müller, 1776)",Eupleridae,-21.377978,47.244448,Fossa,Carnivora
"Fossa fossana (Müller, 1776)",Eupleridae,-21.251757,47.528753,Fossa,Carnivora
"Fossa fossana (Müller, 1776)",Eupleridae,-21.251574,47.555761,Fossa,Carnivora
"Fossa fossana (Müller, 1776)",Eupleridae,-21.35,47.45,Fossa,Carnivora
"Fossa fossana (Müller, 1776)",Eupleridae,-24.59712,46.722382,Fossa,Carnivora
"Fossa fossana (Müller, 1776)",Eupleridae,-21.23,47.47,Fossa,Carnivora
"Fossa fossana (Müller, 1776)",Eupleridae,-13.333333,48.25,Fossa,Carnivora
"Fossa fossana (Müller, 1776)",Eupleridae,-13.333333,48.25,Fossa,Carnivora
"Fossa fossana (Müller, 1776)",Eupleridae,-24.40003,47,Fossa,Carnivora
"Fossa fossana (Müller, 1776)",Eupleridae,-24.40003,47,Fossa,Carnivora
"Fossa Gray, 1864",Eupleridae,-24.486996,46.600407,Fossa,Carnivora
"Fossa Gray, 1864",Eupleridae,-18.922168,48.535736,Fossa,Carnivora
"Fossa fossana (Müller, 1776)",Eupleridae,-18.1667,48.6667,Fossa,Carnivora
"Fossa Gray, 1864",Eupleridae,-18.8,48.616667,Fossa,Carnivora
"Fossa Gray, 1864",Eupleridae,-19.296434,47.175781,Fossa,Carnivora
"Fossa Gray, 1864",Eupleridae,-19.296434,47.175781,Fossa,Carnivora
"Fossa fossana (Müller, 1776)",Eupleridae,-25.19861,46.633057,Fossa,Carnivora
"Fossa fossana (Müller, 1776)",Eupleridae,-15.5,47.8,Fossa,Carnivora
"Fossa fossana (Müller, 1776)",Eupleridae,-15.5,47.8,Fossa,Carnivora
