scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-28.592153,20.334657,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.416272,19.183972,Galerella,Carnivora
"Galerella sanguinea (Rüppell, 1835)",Herpestidae,-15.793337,35.038266,Galerella,Carnivora
"Galerella sanguinea (Rüppell, 1835)",Herpestidae,-25.266389,31.884228,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-32.577952,18.979601,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.296051,21.915781,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-32.838565,17.858552,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-33.442795,19.045648,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.210886,21.973474,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-33.978379,25.645283,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-33.861172,18.272553,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.039303,18.807955,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-33.635086,18.413835,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.035736,23.015669,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.088551,18.474491,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-33.595797,23.405646,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.194909,22.118514,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.153084,18.405457,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.093085,18.87743,Galerella,Carnivora
"Galerella sanguinea (Rüppell, 1835)",Herpestidae,-26.383401,28.503753,Galerella,Carnivora
"Galerella sanguinea (Rüppell, 1835)",Herpestidae,3.752587,29.516571,Galerella,Carnivora
"Galerella sanguinea (Rüppell, 1835)",Herpestidae,3.752587,29.516571,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.351453,18.819409,Galerella,Carnivora
"Galerella sanguinea (Rüppell, 1835)",Herpestidae,-22.781986,17.218553,Galerella,Carnivora
"Galerella sanguinea (Rüppell, 1835)",Herpestidae,-28.3115,31.732227,Galerella,Carnivora
"Galerella sanguinea (Rüppell, 1835)",Herpestidae,3.752587,29.516571,Galerella,Carnivora
"Galerella sanguinea (Rüppell, 1835)",Herpestidae,-18.903833,16.785629,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-28.588674,20.270835,Galerella,Carnivora
"Galerella sanguinea (Rüppell, 1835)",Herpestidae,-20.481034,17.289794,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.342185,19.000215,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-33.935053,18.389094,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.059432,18.495923,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.059031,18.499681,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.087104,18.417998,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.058358,18.499438,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.090446,18.522318,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.058243,18.499457,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.08241,18.466927,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.070951,18.521047,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.061217,18.504118,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.192533,18.82237,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.078472,18.403944,Galerella,Carnivora
"Galerella sanguinea (Rüppell, 1835)",Herpestidae,-19.138006,23.768721,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-32.540831,19.281826,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.058344,18.499208,Galerella,Carnivora
"Galerella sanguinea (Rüppell, 1835)",Herpestidae,-25.87743,28.30408,Galerella,Carnivora
"Galerella sanguinea (Rüppell, 1835)",Herpestidae,-1.873832,37.241137,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-33.443527,25.794302,Galerella,Carnivora
"Galerella pulverulenta (Wagner, 1839)",Herpestidae,-34.195913,18.450382,Galerella,Carnivora
"Galerella sanguinea (Rüppell, 1835)",Herpestidae,-20.545808,28.415427,Galerella,Carnivora
