scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-12.558802,49.165421,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-18.782614,44.743967,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-21.26194,47.423,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-21.264061,47.419292,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-21.252085,47.45126,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-21.246231,47.462829,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-21.261897,47.423017,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-18.969855,48.428229,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-21.261938,47.42302,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-18.89767,44.82981,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-19.017144,44.774405,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-12.616667,49.15,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-21.264682,47.424305,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-12.616667,49.15,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-21.204671,47.431091,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-21.259866,47.451491,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-21.253886,47.421937,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-12.5998,49.210854,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-15.715159,49.962205,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-18.819868,44.788513,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-14.443954,49.769986,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-21.285376,47.411499,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-21.294421,47.422376,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-21.240351,47.393475,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-21.266,47.424116,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-12.521732,49.178425,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-18.0617,44.525,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-12.91688,49.14355,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-12.91688,49.14355,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-13.34155,49.662033,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-15.225833,49.529444,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-12.9083,49.11,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-12.9083,49.11,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-12.9317,49.0567,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-18.7417,44.7117,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-18.7417,44.7117,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-22.211666,46.845001,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-21.515,47.4,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-22.163334,47.041668,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-22.483334,46.968334,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-22.469999,46.959999,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-12.516666,49.166668,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-24.6035,46.72937,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-24.6035,46.72937,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-24.6035,46.72937,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-24.587549,46.711899,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-22.227778,47.003613,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-22.227778,47.003613,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-12.616667,49.15,Galidia,Carnivora
"Galidia elegans Geoffroy St.Hilaire, 1837",Eupleridae,-21.266667,47.466667,Galidia,Carnivora
