scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.099033,43.778998,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.055283,43.606974,Galidictis,Carnivora
"Galidictis fasciata (Gmelin, 1788)",Eupleridae,-23.835,46.9633,Galidictis,Carnivora
"Galidictis fasciata (Gmelin, 1788)",Eupleridae,-23.835,46.9633,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.05,43.75,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.05,43.75,Galidictis,Carnivora
"Galidictis fasciata (Gmelin, 1788)",Eupleridae,-22.483334,46.968334,Galidictis,Carnivora
"Galidictis fasciata striata (Geoffroy, 1803)",Eupleridae,-24.59712,46.722382,Galidictis,Carnivora
"Galidictis fasciata striata (Geoffroy, 1803)",Eupleridae,-24.587549,46.711899,Galidictis,Carnivora
"Galidictis fasciata striata (Geoffroy, 1803)",Eupleridae,-24.587549,46.711899,Galidictis,Carnivora
"Galidictis fasciata (Gmelin, 1788)",Eupleridae,-21.22,47.37,Galidictis,Carnivora
"Galidictis fasciata (Gmelin, 1788)",Eupleridae,-18.8167,49.0667,Galidictis,Carnivora
"Galidictis fasciata (Gmelin, 1788)",Eupleridae,-19.296434,47.175781,Galidictis,Carnivora
"Galidictis I.Geoffroy Saint-Hilaire, 1839",Eupleridae,9.6,-82.783333,Galidictis,Carnivora
"Galidictis I.Geoffroy Saint-Hilaire, 1839",Eupleridae,9.6,-82.783333,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.063167,43.75375,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.02667,43.73717,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0328,43.7516,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0245,43.7403,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0294,43.7471,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.043694,43.779167,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0962,43.7579,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0352,43.7491,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0988,43.7594,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.012778,43.736583,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0228,43.7462,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0577,43.7539,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.028,43.7414,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0975,43.7585,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0577,43.7539,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0246,43.7548,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0328,43.7481,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0212,43.7536,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.193583,42.761611,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0712,43.7534,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.187278,43.779639,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.055944,43.762389,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0315,43.7424,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.048139,43.806,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.1119,43.7618,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0454,43.7568,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0497,43.7578,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0509,43.7534,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0225,43.7489,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0351,43.743,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0259,43.7463,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0658,43.7533,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.0469,43.7532,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.1073,43.7613,Galidictis,Carnivora
"Galidictis grandidieri Wozencraft, 1986",Eupleridae,-24.036,43.7536,Galidictis,Carnivora
