scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Helogale parvula (Sundevall, 1847)",Herpestidae,-24.322906,31.057785,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-25.080011,31.546305,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-24.0415,31.688407,Helogale,Carnivora
Helogale parvula parvula,Herpestidae,-24.996299,31.804266,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-24.900196,31.735436,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-24.900341,31.735243,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-24.900315,31.735355,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-24.900331,31.7353,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-24.90035,31.735245,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-24.900321,31.73532,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,0.625,37.625,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-0.2138,38.2591,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-24.410658,31.561426,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-2.333333,34.833333,Helogale,Carnivora
"Helogale hirtula Thomas, 1904",Herpestidae,-0.1173,38.1639,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-18.729182,24.433785,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-25.241707,31.888555,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-7.654985,38.060723,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-34.20229,18.457117,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,0.32533,36.804665,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-25.170225,31.266556,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-25.170225,31.266556,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-25.170225,31.266556,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-25.170224,31.266555,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-25.057094,31.57566,Helogale,Carnivora
Helogale parvula parvula,Herpestidae,-25.105689,31.51301,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-3.744373,35.973833,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-2.654228,34.785751,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-2.445931,34.818628,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-15.937159,29.456993,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,0.1312,38.1848,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,0.3235,38.0185,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-0.2753,37.9281,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-23.904797,31.478763,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-0.544028,31.018977,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-2.445978,34.818577,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-22.697149,30.993692,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-16.226847,34.720554,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-23.030087,31.353206,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-22.960248,31.248743,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-2.333333,34.833333,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-19.182735,23.411379,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-23.988385,31.55474,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-23.094963,31.42879,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-2.606745,37.223688,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-2.333333,34.833333,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-3.950674,35.866126,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,0.621739,37.625783,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-23.005629,31.316856,Helogale,Carnivora
"Helogale parvula (Sundevall, 1847)",Herpestidae,-3.952216,35.881661,Helogale,Carnivora
