scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Urva auropunctata (Hodgson, 1836)",Herpestidae,21.289006,-157.679492,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,17.756466,-64.653191,Herpestes,Carnivora
"Urva javanica (E.Geoffroy St.Hilaire, 1818)",Herpestidae,18.628623,98.895762,Herpestes,Carnivora
"Herpestes ichneumon (Linnaeus, 1758)",Herpestidae,37.600379,-8.204251,Herpestes,Carnivora
"Herpestes fuscus Waterhouse, 1838",Herpestidae,6.995352,80.406128,Herpestes,Carnivora
"Herpestes smithii Gray, 1837",Herpestidae,6.427213,81.572113,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,19.471138,-155.921132,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,19.57934,-155.96407,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,19.448883,-155.916853,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,17.025504,-61.858464,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,20.886905,-156.426846,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,21.271418,-157.697052,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,19.06352,-69.454773,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,18.361736,-64.924538,Herpestes,Carnivora
"Herpestes ichneumon (Linnaeus, 1758)",Herpestidae,40.018463,-5.989789,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,22.781934,88.424243,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,21.387168,-157.803824,Herpestes,Carnivora
"Herpestes ichneumon (Linnaeus, 1758)",Herpestidae,7.415299,2.071406,Herpestes,Carnivora
"Herpestes ichneumon (Linnaeus, 1758)",Herpestidae,33.155438,35.814746,Herpestes,Carnivora
"Herpestes ichneumon (Linnaeus, 1758)",Herpestidae,33.155438,35.814746,Herpestes,Carnivora
"Herpestes smithii Gray, 1837",Herpestidae,8.304509,80.149467,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,20.913889,-157.059444,Herpestes,Carnivora
"Herpestes ichneumon (Linnaeus, 1758)",Herpestidae,40.030998,-6.018822,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,17.028235,-61.769087,Herpestes,Carnivora
"Herpestes ichneumon (Linnaeus, 1758)",Herpestidae,40.009266,-6.022247,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,21.706217,-157.997445,Herpestes,Carnivora
"Herpestes ichneumon (Linnaeus, 1758)",Herpestidae,39.014012,-7.976613,Herpestes,Carnivora
"Herpestes ichneumon (Linnaeus, 1758)",Herpestidae,32.563907,34.953794,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,17.065308,-61.887755,Herpestes,Carnivora
"Urva javanica (E.Geoffroy St.Hilaire, 1818)",Herpestidae,-6.569061,106.738541,Herpestes,Carnivora
"Urva javanica (E.Geoffroy St.Hilaire, 1818)",Herpestidae,19.358219,98.440486,Herpestes,Carnivora
"Herpestes ichneumon (Linnaeus, 1758)",Herpestidae,40.031014,-6.01872,Herpestes,Carnivora
"Herpestes ichneumon (Linnaeus, 1758)",Herpestidae,40.030875,-6.018804,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,19.110799,-155.534659,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,21.263609,-157.806051,Herpestes,Carnivora
"Herpestes ichneumon (Linnaeus, 1758)",Herpestidae,39.043444,-7.450019,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,21.260839,-157.810282,Herpestes,Carnivora
"Urva javanica (E.Geoffroy St.Hilaire, 1818)",Herpestidae,14.510895,101.931153,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,23.738447,90.298537,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,21.387835,-157.806351,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,20.183494,-155.899761,Herpestes,Carnivora
"Herpestes ichneumon (Linnaeus, 1758)",Herpestidae,10.824205,19.74464,Herpestes,Carnivora
"Herpestes ichneumon (Linnaeus, 1758)",Herpestidae,40.015587,-6.022645,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,19.943287,-155.869613,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,20.896442,-156.44785,Herpestes,Carnivora
"Herpestes ichneumon (Linnaeus, 1758)",Herpestidae,-33.442795,19.046678,Herpestes,Carnivora
"Herpestes edwardsi (É.Geoffroy Saint-Hilaire, 1818)",Herpestidae,13.047349,80.253998,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,21.479047,-158.153828,Herpestes,Carnivora
"Urva auropunctata (Hodgson, 1836)",Herpestidae,24.43202,92.330689,Herpestes,Carnivora
"Herpestes ichneumon (Linnaeus, 1758)",Herpestidae,32.988865,35.700264,Herpestes,Carnivora
