scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,-27.277776,30.090826,Hydrictis,Carnivora
"Lutra maculicollis Lichtenstein, 1835",Mustelidae,0.062528,32.480629,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,0.137515,32.272144,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,0.44953,33.040201,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,0.020426,33.90967,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,-27.385967,30.030858,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,0.009521,32.301706,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,0.035319,32.22524,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,-19.921358,23.378165,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,-8.740668,31.195573,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,6.891065,4.328838,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,6.953147,2.289606,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,-29.694954,29.566228,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,-18.012281,20.882794,Hydrictis,Carnivora
"Lutra maculicollis Lichtenstein, 1835",Mustelidae,30.4482,-2.0176,Hydrictis,Carnivora
"Lutra maculicollis Lichtenstein, 1835",Mustelidae,30.7979,-1.7592,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,-0.375,34.125,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,-27.713022,25.683227,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,-27.382453,30.121768,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,-2.571694,32.832939,Hydrictis,Carnivora
"Lutra maculicollis Lichtenstein, 1835",Mustelidae,0.422197,33.195961,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,5.272441,-8.557967,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,-28.46438,21.339879,Hydrictis,Carnivora
"Lutra maculicollis Lichtenstein, 1835",Mustelidae,10.9333,1.1166,Hydrictis,Carnivora
"Lutra maculicollis Lichtenstein, 1835",Mustelidae,12,2.5833,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,7.0833,2.1,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,9.9333,3.2,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,6.4833,2.5333,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,10.9333,1.1166,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,12,2.5833,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,7.3,2.4166,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,6.2833,1.85,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,6.4833,2.5333,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,6.7333,2.1333,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,6.9166,2.1666,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,-7.562332,30.501347,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,-24.485306,30.957034,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,-9.516902,27.102958,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,-9.547403,27.112437,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,-9.58844,27.037876,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,-19.030298,23.136401,Hydrictis,Carnivora
"Lutra maculicollis Lichtenstein, 1835",Mustelidae,2.2493,32.2672,Hydrictis,Carnivora
"Lutra maculicollis Lichtenstein, 1835",Mustelidae,2.2494,32.267,Hydrictis,Carnivora
"Lutra maculicollis Lichtenstein, 1835",Mustelidae,2.2494,32.267,Hydrictis,Carnivora
"Lutra maculicollis Lichtenstein, 1835",Mustelidae,2.2493,32.2672,Hydrictis,Carnivora
"Lutra maculicollis Lichtenstein, 1835",Mustelidae,2.421,31.9965,Hydrictis,Carnivora
"Lutra maculicollis Lichtenstein, 1835",Mustelidae,2.2496,32.2668,Hydrictis,Carnivora
"Lutra maculicollis Lichtenstein, 1835",Mustelidae,2.2496,32.2668,Hydrictis,Carnivora
"Lutra maculicollis Lichtenstein, 1835",Mustelidae,2.421,31.9965,Hydrictis,Carnivora
"Hydrictis maculicollis (Lichtenstein, 1835)",Mustelidae,-1.643056,29.245751,Hydrictis,Carnivora
