scientificName,family,decimalLatitude,decimalLongitude,genus,order
Ichneumia albicauda G,Herpestidae,3.756845,29.527944,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,19.117306,30.559211,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,-14.855421,35.302231,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,3.769167,29.522222,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,3.752778,29.524167,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,3,29,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,3,29,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,9.329155,40.19829,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,3,29,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,10.738767,19.856615,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,10.915607,19.862123,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,-1.2649030000000001,36.72128,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,11.780668,42.697222,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,-3.029464,35.686451,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,1.778817,35.04966,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,12.14122,2.403137,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,-1.87384,37.241123,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,0.1312,38.1848,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,-3.375,39.875,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,-3.375,39.875,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,-24.977368,31.646944,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,-2.875,39.875,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,-19.220036,23.961855,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,-2.901078,38.038416,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,-1.102637,35.2388,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,-1.7329,40.0922,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,3.739698,29.509094,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,-25.280249,31.001922,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,11.80132,0.98491,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,11.52979,1.37473,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,0.472397,36.814292,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,0.473838,36.824035,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,0.471497,36.812823,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,-14.916868,35.343055,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,3.73711,29.516838,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,3.751682,29.518624,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,3.751598,29.521537,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,11.87904,2.30478,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,11.61028,1.36493,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,11.53966,1.45151,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,11.35108,1.49285,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,3.75136,29.518571,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,11.52979,1.37473,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,11.80132,0.98491,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,11.80132,0.98491,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,11.62944,1.00393,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,-18.808663,26.325563,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,-2.43513,34.817328,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,0.166685,37.112707,Ichneumia,Carnivora
Ichneumia albicauda G,Herpestidae,-3.264964,37.229615,Ichneumia,Carnivora
