scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Ictonyx striatus (Perry, 1810)",Mustelidae,-14.85346,35.303791,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-14.916868,35.343055,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-14.85346,35.303791,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-23.40263,30.682195,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-33.967778,22.083889,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-29.880226,17.507547,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-0.1173,38.1639,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-24.029379,21.787076,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-33.67587,18.457933,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-34.05395,18.807908,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-17.93711,19.913906,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-33.918657,18.704357,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-27.084377,32.539646,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-25.765995,20.000363,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-18.564392,24.061767,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-32.76428,21.984633,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-20.1871,23.869238,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-34.434793,19.476748,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-0.0588,38.0231,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-0.0881,38.19,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-27.590076,32.459946,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-33.60525,19.991003,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-29.827265,17.520398,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-21.332306,23.682418,Ictonyx,Carnivora
"Ictonyx Kaup, 1835",Mustelidae,-26.980556,21.834834,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,0.184983,37.018648,Ictonyx,Carnivora
"Ictonyx Kaup, 1835",Mustelidae,-26.974,21.84,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-20.045367,22.310872,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,0.09978,37.06568,Ictonyx,Carnivora
Ictonyx striatus striatus,Mustelidae,-34.24444,21.8922,Ictonyx,Carnivora
"Ictonyx Kaup, 1835",Mustelidae,-26.97782,22.09591,Ictonyx,Carnivora
Ictonyx striatus striatus,Mustelidae,-23.6291,16.6949,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-23.86,35.546265,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-19.47968,15.78835,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-28.48649,19.94151,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-2.801633,36.713562,Ictonyx,Carnivora
Ictonyx striatus striatus,Mustelidae,-33.3363,18.2869,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-33.750377,20.197586,Ictonyx,Carnivora
Ictonyx striatus striatus,Mustelidae,-34.121692,19.516866,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,-33.750377,20.197586,Ictonyx,Carnivora
Ictonyx striatus striatus,Mustelidae,-26.31697,30.23067,Ictonyx,Carnivora
"Poecilictis libyca (Hemprich & Ehrenberg, 1833)",Mustelidae,10.9333,1.1166,Ictonyx,Carnivora
"Poecilictis libyca (Hemprich & Ehrenberg, 1833)",Mustelidae,12,2.5833,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,10.9333,1.1166,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,12,2.5833,Ictonyx,Carnivora
"Ictonyx Kaup, 1835",Mustelidae,-27.052,22.244,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,6.7333,2.1333,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,6.9166,2.1666,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,7.0833,2.1,Ictonyx,Carnivora
"Ictonyx striatus (Perry, 1810)",Mustelidae,9.9333,3.2,Ictonyx,Carnivora
