scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Lontra canadensis (Schreber, 1777)",Mustelidae,44.516094,-122.890991,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,29.805302,-95.593412,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,29.916275,-95.584679,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,39.035968,-121.083601,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,38.031346,-122.50866,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,61.207641,-149.923995,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,37.971755,-122.479184,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,47.677401,-122.254017,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,38.119862,-122.95116,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,38.010163,-121.727402,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,30.423576,-96.051394,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,41.056193,-81.568989,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,30.403693,-84.307965,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,43.656237,-73.227512,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,41.181662,-81.556562,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,38.552122,-121.62174,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,38.55219,-121.624463,Lontra,Carnivora
"Lontra longicaudis (Olfers, 1818)",Mustelidae,3.468977,-68.19035,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,31.661531,-96.612655,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,43.105642,-87.915863,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,44.479973,-78.446266,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,44.726406,-78.069721,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,26.45387,-81.814107,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,38.119247,-122.950738,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,38.119143,-122.950993,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,48.494879,-123.310028,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,30.743146,-97.784272,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,48.410993,-123.307991,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,43.384502,-87.866931,Lontra,Carnivora
"Lontra longicaudis (Olfers, 1818)",Mustelidae,20.798771,-104.109775,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,28.705582,-81.641109,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,38.533615,-121.620443,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,44.465878,-93.154275,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,30.65826,-97.539444,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,46.124735,-123.876892,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,37.950009,-122.606208,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,31.092342,-98.020824,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,30.428642,-84.300708,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,30.526473,-96.374664,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,48.489995,-123.301885,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,48.489995,-123.301885,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,44.282246,-72.572089,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,38.970066,-85.616871,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,30.376433,-88.719217,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,29.432263,-94.833921,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,28.569297,-80.993396,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,43.630633,-72.583887,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,46.153595,-118.936809,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,38.653903,-121.72727,Lontra,Carnivora
"Lontra canadensis (Schreber, 1777)",Mustelidae,42.487545,-71.47898,Lontra,Carnivora
