scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.257215,103.809138,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,6.37985,99.66584,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.259235,103.951518,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.367369,103.980645,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.257829,103.793756,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.477676,103.817402,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.264571,103.868386,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,9.002623,98.770256,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.379367,103.860534,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.281611,103.865463,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.456299,103.93067,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.459274,103.864678,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.310789,103.629178,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.497438,103.966452,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,5.509516,118.191329,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.237191,103.980216,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.291731,103.867329,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.250335,103.971805,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.3848800000000001,103.935887,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.329043,103.923597,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.287828,103.800393,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.325752,103.938262,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.295626,103.976405,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,26.608788,93.294525,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,26.608788,93.294525,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,26.572794,92.959399,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.586088,103.9126,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.20794,103.77762800000001,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,5.446544,100.312481,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,5.537335,100.275487,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.23437,103.602372,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.394498,103.777453,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.292964,103.983647,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.341547,103.666621,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.272302,103.806302,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.317026,103.86929,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.254741,103.938956,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.215276,103.822362,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.237835,103.850069,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.219248,103.893551,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.385695,103.98061,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.355261,103.901824,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.352873,103.893486,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.381783,103.908943,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.295319,103.869578,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.363826,103.920703,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,15.336888,76.408928,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.421961,103.980961,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.331575,103.83632,Lutrogale,Carnivora
"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",Mustelidae,1.304097,103.944531,Lutrogale,Carnivora
