scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Lycalopex gymnocercus (G.Fischer, 1814)",Canidae,-35.089947,-65.818662,Lycalopex,Carnivora
"Lycalopex culpaeus (Molina, 1782)",Canidae,-33.016936,-71.029409,Lycalopex,Carnivora
"Lycalopex griseus (Gray, 1837)",Canidae,-54.585997,-67.348037,Lycalopex,Carnivora
"Lycalopex griseus (Gray, 1837)",Canidae,-42.496332,-63.60954,Lycalopex,Carnivora
"Lycalopex griseus (Gray, 1837)",Canidae,-41.138442,-72.536634,Lycalopex,Carnivora
"Lycalopex griseus (Gray, 1837)",Canidae,-40.355957,-73.255988,Lycalopex,Carnivora
"Lycalopex griseus (Gray, 1837)",Canidae,-29.320258,-71.236898,Lycalopex,Carnivora
"Lycalopex culpaeus (Molina, 1782)",Canidae,-50.478982,-73.019687,Lycalopex,Carnivora
"Lycalopex griseus (Gray, 1837)",Canidae,-41.592443,-72.589457,Lycalopex,Carnivora
"Lycalopex griseus (Gray, 1837)",Canidae,-54.789108,-68.394891,Lycalopex,Carnivora
"Lycalopex culpaeus (Molina, 1782)",Canidae,-32.511422,-70.492905,Lycalopex,Carnivora
"Lycalopex gymnocercus (G.Fischer, 1814)",Canidae,-35.611158,-63.296359,Lycalopex,Carnivora
"Lycalopex gymnocercus (G.Fischer, 1814)",Canidae,-28.636764,-53.501237,Lycalopex,Carnivora
"Lycalopex griseus (Gray, 1837)",Canidae,-41.135291,-72.531715,Lycalopex,Carnivora
"Lycalopex griseus (Gray, 1837)",Canidae,-29.307721,-71.275096,Lycalopex,Carnivora
"Lycalopex culpaeus (Molina, 1782)",Canidae,-50.94308,-72.949897000000007,Lycalopex,Carnivora
"Lycalopex griseus (Gray, 1837)",Canidae,-33.714637,-58.658338,Lycalopex,Carnivora
"Lycalopex griseus (Gray, 1837)",Canidae,-41.145694,-72.423762,Lycalopex,Carnivora
"Lycalopex culpaeus (Molina, 1782)",Canidae,-32.041336,-71.513022,Lycalopex,Carnivora
"Lycalopex culpaeus (Molina, 1782)",Canidae,-0.321108,-78.158456,Lycalopex,Carnivora
"Lycalopex culpaeus (Molina, 1782)",Canidae,-32.067746,-71.52085,Lycalopex,Carnivora
"Lycalopex culpaeus (Molina, 1782)",Canidae,-32.486411,-69.070172,Lycalopex,Carnivora
"Lycalopex griseus (Gray, 1837)",Canidae,-51.306378,-72.620992,Lycalopex,Carnivora
"Lycalopex griseus (Gray, 1837)",Canidae,-40.662028,-72.131462,Lycalopex,Carnivora
"Lycalopex culpaeus (Molina, 1782)",Canidae,-0.611691,-78.474815,Lycalopex,Carnivora
"Lycalopex culpaeus (Molina, 1782)",Canidae,-0.611281,-78.474981,Lycalopex,Carnivora
"Lycalopex griseus (Gray, 1837)",Canidae,-27.113817,-70.653523,Lycalopex,Carnivora
"Lycalopex gymnocercus (G.Fischer, 1814)",Canidae,-35.441125,-58.807094,Lycalopex,Carnivora
"Lycalopex culpaeus (Molina, 1782)",Canidae,-0.537165,-78.249147,Lycalopex,Carnivora
"Lycalopex griseus (Gray, 1837)",Canidae,-54.704094,-68.130929,Lycalopex,Carnivora
"Lycalopex griseus (Gray, 1837)",Canidae,-31.282357,-64.288491,Lycalopex,Carnivora
"Lycalopex gymnocercus (G.Fischer, 1814)",Canidae,-31.47426,-60.981431,Lycalopex,Carnivora
"Lycalopex griseus (Gray, 1837)",Canidae,-33.901984,-65.850346,Lycalopex,Carnivora
"Lycalopex culpaeus (Molina, 1782)",Canidae,-33.420014,-71.625702,Lycalopex,Carnivora
"Lycalopex sechurae (Thomas, 1900)",Canidae,-11.357338,-77.311863,Lycalopex,Carnivora
"Lycalopex culpaeus andinus (Thomas, 1914)",Canidae,-0.611409,-78.475389,Lycalopex,Carnivora
"Lycalopex griseus (Gray, 1837)",Canidae,-51.250166,-72.236106,Lycalopex,Carnivora
"Lycalopex griseus (Gray, 1837)",Canidae,-41.173049,-72.447367,Lycalopex,Carnivora
"Lycalopex griseus (Gray, 1837)",Canidae,-37.410145,-59.436537,Lycalopex,Carnivora
"Lycalopex gymnocercus (G.Fischer, 1814)",Canidae,-38.000464,-65.596652,Lycalopex,Carnivora
"Lycalopex culpaeus (Molina, 1782)",Canidae,-35.599343,-70.996322,Lycalopex,Carnivora
"Lycalopex culpaeus (Molina, 1782)",Canidae,-33.343333,-70.348889,Lycalopex,Carnivora
"Lycalopex culpaeus (Molina, 1782)",Canidae,-0.527853,-78.228561,Lycalopex,Carnivora
"Lycalopex culpaeus (Molina, 1782)",Canidae,-0.617158,-78.45538,Lycalopex,Carnivora
"Lycalopex gymnocercus (G.Fischer, 1814)",Canidae,-37.328461,-57.127083,Lycalopex,Carnivora
"Lycalopex fulvipes (Martin, 1837)",Canidae,-42.512855,-73.921005,Lycalopex,Carnivora
"Lycalopex culpaeus (Molina, 1782)",Canidae,-36.718014,-71.83984,Lycalopex,Carnivora
"Lycalopex gymnocercus (G.Fischer, 1814)",Canidae,-34.526138,-54.356534,Lycalopex,Carnivora
"Lycalopex gymnocercus (G.Fischer, 1814)",Canidae,-34.539568,-54.376694,Lycalopex,Carnivora
"Lycalopex griseus (Gray, 1837)",Canidae,-33.809414,-71.659577,Lycalopex,Carnivora
