scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Lyncodon patagonicus (de Blainville, 1842)",Mustelidae,-37.85185,-65.55589,Lyncodon,Carnivora
"Lyncodon patagonicus (de Blainville, 1842)",Mustelidae,-40.89,-68.05,Lyncodon,Carnivora
"Lyncodon patagonicus (de Blainville, 1842)",Mustelidae,-40.93791,0,Lyncodon,Carnivora
"Lyncodon patagonicus (de Blainville, 1842)",Mustelidae,-39.91649,-71.07436,Lyncodon,Carnivora
"Lyncodon patagonicus (de Blainville, 1842)",Mustelidae,-40.64719,-71.01383,Lyncodon,Carnivora
"Lyncodon patagonicus (de Blainville, 1842)",Mustelidae,-33.988056,-67.960972,Lyncodon,Carnivora
"Lyncodon Gervais, 1845",Mustelidae,-34.066666,-57.125,Lyncodon,Carnivora
"Lyncodon patagonicus (de Blainville, 1842)",Mustelidae,-49.14317,-69.664924,Lyncodon,Carnivora
"Lyncodon patagonicus thomasi Cabrera, 1928",Mustelidae,-30.044712,-66.879552,Lyncodon,Carnivora
"Lyncodon patagonicus (de Blainville, 1842)",Mustelidae,-45,-69,Lyncodon,Carnivora
"Lyncodon patagonicus (de Blainville, 1842)",Mustelidae,-34.4,-59,Lyncodon,Carnivora
"Lyncodon patagonicus (de Blainville, 1842)",Mustelidae,-34.9,-57.9,Lyncodon,Carnivora
"Lyncodon patagonicus (de Blainville, 1842)",Mustelidae,-40.7,-66.6,Lyncodon,Carnivora
