scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Martes americana (Turton, 1806)",Mustelidae,45.583684,-78.359805,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,69.719407,19.10369,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,69.719407,19.10369,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,63.537966,10.091333,Martes,Carnivora
"Martes foina Erxleben, 1777",Mustelidae,49.998787,8.571162,Martes,Carnivora
"Martes foina Erxleben, 1777",Mustelidae,53.643131,10.181965,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,59.031105,15.930606,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,57.856305,14.69589,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,62.029782,14.75835,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,63.331516,19.132337,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,63.989101,17.983329,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,69.718629,19.102612,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,63.981374,10.680996,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,69.424415,21.651941,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,69.719258,19.103438,Martes,Carnivora
"Pekania pennanti (Erxleben, 1777)",Mustelidae,43.834781,-72.356724,Martes,Carnivora
"Pekania pennanti (Erxleben, 1777)",Mustelidae,44.734955,-79.280259,Martes,Carnivora
"Martes americana (Turton, 1806)",Mustelidae,50.627237,-116.054323,Martes,Carnivora
"Martes americana (Turton, 1806)",Mustelidae,45.608639,-78.30924,Martes,Carnivora
"Martes zibellina (Linnaeus, 1758)",Mustelidae,51.13607,83.041626,Martes,Carnivora
"Martes americana (Turton, 1806)",Mustelidae,50.023514,-96.895736,Martes,Carnivora
"Pekania pennanti (Erxleben, 1777)",Mustelidae,42.34397,-72.230732,Martes,Carnivora
"Martes foina Erxleben, 1777",Mustelidae,41.793463,1.633106,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,62.813742,10.101133,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,69.719258,19.103438,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,69.719407,19.10369,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,69.719407,19.10369,Martes,Carnivora
"Martes foina Erxleben, 1777",Mustelidae,50.057026,14.738757,Martes,Carnivora
"Martes foina Erxleben, 1777",Mustelidae,50.589717,8.675675,Martes,Carnivora
"Pekania pennanti (Erxleben, 1777)",Mustelidae,45.409579,-93.199617,Martes,Carnivora
"Pekania pennanti (Erxleben, 1777)",Mustelidae,45.516262,-75.345396,Martes,Carnivora
"Martes foina Erxleben, 1777",Mustelidae,52.310642,7.657685,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,65.95156,21.368666,Martes,Carnivora
"Martes Pinel, 1792",Mustelidae,52.10004,9.36505,Martes,Carnivora
"Martes foina Erxleben, 1777",Mustelidae,52.506134,13.426161,Martes,Carnivora
"Martes Pinel, 1792",Mustelidae,51.093819,7.063415,Martes,Carnivora
"Martes foina Erxleben, 1777",Mustelidae,51.406487,10.974449,Martes,Carnivora
"Martes foina Erxleben, 1777",Mustelidae,53.643131,10.181965,Martes,Carnivora
"Martes foina Erxleben, 1777",Mustelidae,52.961113,9.230407,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,47.740753,9.166737,Martes,Carnivora
"Martes foina Erxleben, 1777",Mustelidae,53.643131,10.181965,Martes,Carnivora
"Martes foina Erxleben, 1777",Mustelidae,53.643131,10.181965,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,69.7195,19.103389,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,68.848631,17.209098,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,62.81208,10.13252,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,59.308379,9.561955,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,58.827881,6.28385,Martes,Carnivora
"Martes foina Erxleben, 1777",Mustelidae,53.643131,10.181965,Martes,Carnivora
"Martes martes (Linnaeus, 1758)",Mustelidae,48.883595,8.840158,Martes,Carnivora
"Martes foina Erxleben, 1777",Mustelidae,51.45298,10.923356,Martes,Carnivora
