scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Meles meles (Linnaeus, 1758)",Mustelidae,49.991631,8.553286,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,42.364977,-8.731136,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,45.504166,8.388889,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,46.339042,7.000907,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,46.339042,7.000907,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,46.339042,7.000907,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,46.339042,7.000907,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,46.339042,7.000907,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,46.339042,7.000907,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,50.335571,2.259932,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,60.25254,18.381408,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,57.938412,15.732878,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,56.71818,12.867396,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,58.67053,13.633237,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,58.645798,13.617894,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,58.06487,11.745715,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,63.077039,7.597416,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,58.159981,13.280918,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,59.984968,17.387602,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,59.819971,16.19799,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,56.276151,12.514233,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,56.203246,16.420251,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,56.868492,15.013732,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,51.351109,9.89193,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,49.822342,9.136326,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,59.13042,10.402249,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,59.843343,10.679021,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,60.068686,11.147352,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,59.921933,10.944354,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,58.452165,8.832309,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,59.942487,10.486954,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,59.975815,11.251476,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,59.022553,10.084852,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,59.87547,10.482284,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,58.342932,7.893352,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,62.838139,8.289341,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,59.10284,10.246675,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,59.941645,10.59058,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,63.184648,11.181842,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,60.000108,10.99723,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,63.184648,11.181842,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,55.167995,24.880233,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,36.732571,-4.600835,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,45.092999,7.741253,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,53.991928,-2.566584,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,50.500743,6.530382,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,49.258647,8.512568,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,50.042553,6.014946,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,45.216709,8.238644,Meles,Carnivora
"Meles meles (Linnaeus, 1758)",Mustelidae,59.426053,10.697681,Meles,Carnivora
