scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Mellivora capensis (Schreber, 1776)",Mustelidae,-28.729967,30.05249,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-33.966667,22.09111,Mellivora,Carnivora
Mellivora capensis capensis,Mustelidae,-24.665934,31.574047,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-0.1173,38.1639,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-21.26821,23.707715,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-21.527454,23.779852,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-33.59974,23.420329,Mellivora,Carnivora
Mellivora capensis capensis,Mustelidae,-33.403889,25.822023,Mellivora,Carnivora
Mellivora capensis capensis,Mustelidae,-19.051299,16.286252,Mellivora,Carnivora
Mellivora capensis capensis,Mustelidae,-23.105152,31.387325,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-0.1582,37.9698,Mellivora,Carnivora
Mellivora capensis capensis,Mustelidae,-34.6636,19.5655,Mellivora,Carnivora
Mellivora capensis capensis,Mustelidae,-19.036947,16.469845,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-34.021173,22.232239,Mellivora,Carnivora
Mellivora capensis capensis,Mustelidae,-17.84125,25.050106,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-34.6636,19.5655,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-2.875,39.875,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-19.289928,15.978008,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-24.1412,31.48218,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-18.42569,23.53388,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-19.232411,16.105036,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-18.983128,16.666883,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-19.040527,16.309287,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-18.865561,16.824666,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-26.385435,20.697674,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-26.40786,20.604687,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-34.195418,18.416244,Mellivora,Carnivora
Mellivora capensis capensis,Mustelidae,-25.925551,20.177212,Mellivora,Carnivora
Mellivora capensis capensis,Mustelidae,-24.394498,31.777448,Mellivora,Carnivora
Mellivora capensis capensis,Mustelidae,-34.037593,22.232979,Mellivora,Carnivora
Mellivora capensis capensis,Mustelidae,-34.096193,22.265925,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-1.7329,40.0922,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-1.5679,39.4752,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-1.0869,39.5206,Mellivora,Carnivora
Mellivora capensis capensis,Mustelidae,-19.077821,15.880211,Mellivora,Carnivora
Mellivora capensis capensis,Mustelidae,-33.343309,18.179777,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-33.579319,23.447279,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-33.58358,23.437811,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-34.103467,18.92156,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,11.89187,0.99313,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-33.966814,22.08275,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-33.968761,22.088428,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,-18.937818,32.678648,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,12.371303,2.433622,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,12.271935,2.292225,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,12.14638,2.04816,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,11.71801,2.8498,Mellivora,Carnivora
Mellivora capensis capensis,Mustelidae,-26.261163,20.791461,Mellivora,Carnivora
"Mellivora capensis (Schreber, 1776)",Mustelidae,11.98692,2.56648,Mellivora,Carnivora
Mellivora capensis capensis,Mustelidae,-33.7512,20.198896,Mellivora,Carnivora
