scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Melogale moschata (Gray, 1831)",Mustelidae,19.001016,109.02258,Melogale,Carnivora
"Melogale moschata (Gray, 1831)",Mustelidae,24.137103,121.275839,Melogale,Carnivora
"Melogale I.Geoffroy Saint-Hilaire, 1831",Mustelidae,26.63121,89.606331,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,24.003653,120.57419,Melogale,Carnivora
"Melogale orientalis (Horsfield, 1821)",Mustelidae,-7.936842,110.471988,Melogale,Carnivora
"Melogale personata I.Geoffroy Saint-Hilaire, 1831",Mustelidae,11.404952,107.400671,Melogale,Carnivora
"Melogale moschata (Gray, 1831)",Mustelidae,22.956052,120.607916,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,24.576834,121.403773,Melogale,Carnivora
"Melogale I.Geoffroy Saint-Hilaire, 1831",Mustelidae,25.143524,94.28334,Melogale,Carnivora
"Melogale moschata (Gray, 1831)",Mustelidae,32.05856,118.819985,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,24.003188,120.577409,Melogale,Carnivora
"Melogale moschata (Gray, 1831)",Mustelidae,20.78861,107.048332,Melogale,Carnivora
"Melogale moschata (Gray, 1831)",Mustelidae,24.556741,121.75737,Melogale,Carnivora
"Melogale personata I.Geoffroy Saint-Hilaire, 1831",Mustelidae,12.4,106.76,Melogale,Carnivora
"Melogale personata I.Geoffroy Saint-Hilaire, 1831",Mustelidae,12.4,106.76,Melogale,Carnivora
"Melogale personata I.Geoffroy Saint-Hilaire, 1831",Mustelidae,12.4,106.76,Melogale,Carnivora
"Melogale moschata (Gray, 1831)",Mustelidae,24.051927,120.86715,Melogale,Carnivora
"Melogale moschata (Gray, 1831)",Mustelidae,21.918888,120.836418,Melogale,Carnivora
"Melogale moschata (Gray, 1831)",Mustelidae,23.879151,120.770576,Melogale,Carnivora
"Melogale moschata (Gray, 1831)",Mustelidae,24.965338,121.737488,Melogale,Carnivora
"Melogale moschata (Gray, 1831)",Mustelidae,24.65914,121.023063,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,24.879139,121.419411,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,22.207566,120.75098,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,25.11606,121.56001,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,22.825629,121.096265,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,25.035767,121.68095,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,22.766857,120.675374,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,24.735554,121.052926,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,25.06478,121.46292,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,24.81392,121.37543,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,22.766857,120.675374,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,23.370752,120.610248,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,25.10639,121.56496,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,25.112161,121.5972,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,25.180282,121.606515,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,23.943158,120.937449,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,24.1605,120.85954,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,24.93874,121.56031,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,24.38283,120.78404,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,23.81715,120.67526,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,24.83009,121.28405,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,25.11103,121.5629,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,25.034867,121.678731,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,25.13699,121.54255,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,23.489722,120.764055,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,22.49762,120.95668,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,22.762619,120.668387,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,23.88591,120.69067,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,24.732352,121.074068,Melogale,Carnivora
"Melogale moschata subaurantiaca (Swinhoe, 1862)",Mustelidae,24.888456,121.376036,Melogale,Carnivora
