scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Mungos mungo (Gmelin, 1788)",Herpestidae,-15.86897,34.745881,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-30.297317,30.751548,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-15.846327,34.743638,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,13.348579,-16.788342,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-30.295273,30.752765,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-1.052186,35.249356,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-30.297557,30.751327,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-2.428229,34.821939,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-17.836362,31.044425,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,10.876952,19.83071,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,10.871537,19.827063,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-30.29708,30.75168,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-22.68056,28.47892,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-28.126024,32.558748,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-30.297398,30.750923,Mungos,Carnivora
"Mungos mungo grisonax Thomas, 1926",Herpestidae,-25.372139,31.765108,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-22.506242,30.227628,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-22.625951,30.146207,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-28.3762,32.4181,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,3.752587,29.516571,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-19.036183,16.469745,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-2.730431,37.375345,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,13.03768,-13.291534,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-23.988385,31.55474,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,2.189678,31.675071,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-30.381025,30.6793,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-30.381048,30.679257,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-25.357303,28.363908,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-18.808544,16.940312,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-18.813195,17.048085,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-27.52678,32.669776,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-0.1173,38.1639,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-25.4,28.4,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-30.298154,30.751005,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-1.424362,34.954072,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-23.88833,29.99656,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-6.781468,39.205248,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-24.642928,25.956135,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-17.927233,25.841712,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-3.8858,36.068272,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-18.818377,16.941818,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-18.785826,16.94464,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-23.807403,31.594693,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-17.840481,25.075367,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-1.61964,35.300143,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-18.806745,16.939805,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,13.009999,-12.94482,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-28.124353,32.559048,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-27.543075,32.676588,Mungos,Carnivora
"Mungos mungo (Gmelin, 1788)",Herpestidae,-18.817747,16.954225,Mungos,Carnivora
