scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Mungotictis decemlineata (Grandidier, 1867)",Eupleridae,-20.147151,44.604054,Mungotictis,Carnivora
"Mungotictis decemlineata (Grandidier, 1867)",Eupleridae,-20.078646,44.69461,Mungotictis,Carnivora
"Mungotictis decemlineata (Grandidier, 1867)",Eupleridae,-20.037999,44.760076,Mungotictis,Carnivora
"Mungotictis decemlineata (Grandidier, 1867)",Eupleridae,-20.095668,44.788925,Mungotictis,Carnivora
"Mungotictis decemlineata (Grandidier, 1867)",Eupleridae,-20.053287,44.66446,Mungotictis,Carnivora
"Mungotictis decemlineata (Grandidier, 1867)",Eupleridae,-20.199615,44.76935,Mungotictis,Carnivora
"Mungotictis decemlineata (Grandidier, 1867)",Eupleridae,-20.058245,44.77211,Mungotictis,Carnivora
"Mungotictis decemlineata (Grandidier, 1867)",Eupleridae,-20.078081,44.672875,Mungotictis,Carnivora
"Mungotictis Pocock, 1915",Eupleridae,-22.850331,43.720858,Mungotictis,Carnivora
"Mungotictis decemlineata (Grandidier, 1867)",Eupleridae,-20.8567,44.0967,Mungotictis,Carnivora
"Mungotictis decemlineata (Grandidier, 1867)",Eupleridae,-20.8567,44.0967,Mungotictis,Carnivora
