scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Mustela erminea Linnaeus, 1758",Mustelidae,-46.156353,167.307663,Mustela,Carnivora
"Mustela nivalis Linnaeus, 1766",Mustelidae,66.316356,14.049759,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,68.121688,13.635878,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,66.017401,21.720284,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,66.03075,21.731262,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,66.018584,21.735214,Mustela,Carnivora
"Mustela nivalis Linnaeus, 1766",Mustelidae,65.845899,22.326611,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,65.631837,17.964581,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,70.023452,24.938634,Mustela,Carnivora
"Mustela nivalis Linnaeus, 1766",Mustelidae,58.827881,6.28385,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,69.241323,19.450933,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,66.253412,13.123757,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,66.256985,13.13752,Mustela,Carnivora
"Mustela nivalis Linnaeus, 1766",Mustelidae,63.31563,9.886166,Mustela,Carnivora
"Mustela nivalis Linnaeus, 1766",Mustelidae,55.61829,-2.34165,Mustela,Carnivora
"Mustela nivalis Linnaeus, 1766",Mustelidae,46.668196,15.464274,Mustela,Carnivora
"Mustela nivalis Linnaeus, 1766",Mustelidae,-40.867232,174.963671,Mustela,Carnivora
"Mustela nivalis Linnaeus, 1766",Mustelidae,56.097433,40.309212,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,-40.998569,174.947296,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,46.494461,9.85748,Mustela,Carnivora
"Mustela nivalis Linnaeus, 1766",Mustelidae,59.189443,9.935762,Mustela,Carnivora
"Mustela nivalis Linnaeus, 1766",Mustelidae,60.727778,5.304525,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,68.758024,14.790267,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,69.825536,19.01729,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,68.923446,17.124396,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,63.798242,11.446172,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,69.724174,19.096261,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,68.214813,14.411573,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,68.207757,14.430052,Mustela,Carnivora
"Mustela putorius furo Linnaeus, 1758",Mustelidae,-44.791144,169.07779,Mustela,Carnivora
"Mustela putorius Linnaeus, 1758",Mustelidae,42.237839,-3.978117,Mustela,Carnivora
"Mustela nivalis Linnaeus, 1766",Mustelidae,54.428933,44.71464,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,37.539649,-106.792679,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,51.610823,0.825269,Mustela,Carnivora
"Mustela Linnaeus, 1758",Mustelidae,47.146197,-92.727065,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,63.848558,20.289619,Mustela,Carnivora
"Mustela nivalis Linnaeus, 1766",Mustelidae,61.208756,14.541344,Mustela,Carnivora
"Mustela nivalis Linnaeus, 1766",Mustelidae,65.942839,21.636561,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,63.223449,13.065529,Mustela,Carnivora
"Mustela nivalis Linnaeus, 1766",Mustelidae,59.946332,17.881424,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,65.631837,17.964581,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,61.716156,16.167735,Mustela,Carnivora
"Mustela nivalis Linnaeus, 1766",Mustelidae,56.055871,12.756167,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,65.631837,17.964581,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,67.186338,20.740052,Mustela,Carnivora
"Mustela nivalis Linnaeus, 1766",Mustelidae,65.530654,21.918327,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,53.594856,9.642856,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,53.91048,9.476444,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,53.591419,9.652898,Mustela,Carnivora
"Mustela erminea Linnaeus, 1758",Mustelidae,51.320957,9.248257,Mustela,Carnivora
