scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Nandinia binotata (Gray, 1830)",Nandiniidae,3.753129,29.518896,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,-3.264964,37.229615,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,3.747428,29.515104,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,3.748813,29.520599,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,0.747032,15.268688,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,3.750982,29.51759,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,3.73711,29.516838,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,3.752453,29.518548,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,0.558799,30.828655,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,-0.44116,11.524806,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,-4.258707,15.277358,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,3.752587,29.516571,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,-2.326433,13.633662,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,3.751,29.51,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,3.753,29.52,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,-5.101118,38.629609,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,0.227849,34.887356,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,-2.760319,20.378222,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,3.751,29.521,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,7.544135,-11.348779,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,2.89298,10.4376,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,6.7333,2.1333,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,6.9166,2.1666,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,7.0833,2.1,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,9.9333,3.2,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,6.4833,2.5333,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,10.9333,1.1166,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,12,2.5833,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,7.3,2.4166,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,6.2833,1.85,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,6.4833,2.5333,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,11.341876,1.906742,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,0.501044,30.426078,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,-2.488934,29.123991,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,-18.954709,32.683918,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,1.80322,10.8756,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,45.841911,11.945594,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,0.372159,34.792328,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,12.076329,3.191864,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,11.243179,1.603764,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,6.74778,2.118633,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,6.487478,2.557318,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,7.065248,2.130028,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,11.109,-13.957,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,6.487478,2.557318,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,7.203593,2.345948,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,8.032,-9.736,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,7.453,-10.693,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,5.403,-7.732,Nandinia,Carnivora
"Nandinia binotata (Gray, 1830)",Nandiniidae,6.916667,2.166667,Nandinia,Carnivora
