scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Nasua narica (Linnaeus, 1766)",Procyonidae,10.210114,-84.164101,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,10.30264,-84.79569,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,23.770213,-106.20748,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,10.316395,-84.812111,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,10.475645,-84.771343,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,9.004819,-79.553395,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,23.639356,-106.35742,Nasua,Carnivora
"Nasua nasua (Linnaeus, 1766)",Procyonidae,-25.701192,-54.445039,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,17.227164,-96.747057,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,10.272874,-84.824166,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,25.63186,-100.235375,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,10.460426,-84.735054,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,17.920563,-94.743445,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,10.477133,-84.77043,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,23.803531,-106.283775,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,9.133064,-79.719247,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,21.518774,-104.494882,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,10.969533,-85.687988,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,10.725838,-85.319022,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,9.128211,-79.694899,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,8.409863,-83.351272,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,23.803603,-106.283773,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,31.525033,-110.777938,Nasua,Carnivora
"Nasua nasua (Linnaeus, 1766)",Procyonidae,-23.438999,-47.067569,Nasua,Carnivora
"Nasua nasua (Linnaeus, 1766)",Procyonidae,-23.438684,-47.066539,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,15.686561,-96.619141,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,20.756542,-86.959503,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,10.431644,-84.010215,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,20.219897,-87.426292,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,8.480228,-83.589436,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,20.498022,-86.960989,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,10.31158,-84.032828,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,18.317817,-88.183211,Nasua,Carnivora
"Nasua nasua (Linnaeus, 1766)",Procyonidae,-25.652092,-54.535722,Nasua,Carnivora
"Nasua nasua (Linnaeus, 1766)",Procyonidae,-23.488913,-46.517014,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,10.491278,-84.7231,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,10.490246,-84.722844,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,9.786301,-84.925549,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,10.275765,-85.128792,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,10.48841,-84.754102,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,10.488427,-84.754098,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,17.976597,-97.337402,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,31.725142,-110.880072,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,15.743196,-96.128662,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,9.91402,-85.048914,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,10.313222,-84.823448,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,31.725205,-110.880435,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,10.313099,-84.815757,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,21.206169,-89.458489,Nasua,Carnivora
"Nasua narica (Linnaeus, 1766)",Procyonidae,14.019381,-86.523907,Nasua,Carnivora
