scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.25779,-74.077335,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,0.084951,-78.849484,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.891748,-73.899267,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,-0.195748,-78.762626,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,5.299546,-75.318113,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,5.143924,-75.486584,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,0.131978,-78.988023,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,-0.16815,-78.786743,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.8355,-73.7298,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.7743,-73.8681,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.7769,-73.8,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.714,-73.628,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.77281,-73.54683,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.610123,-75.544083,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.947203,-73.776074,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.931323,-73.763695,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,0.201363,-78.669026,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,-3.795655,-79.73899,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.78885,-73.80051,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.87032,-73.88939,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,-4.134606,-78.905244,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,5.751,-73.378389,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,-0.178552,-78.747633,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,1.674972,-75.904028,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,1.718056,-75.903222,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.9648,-73.668,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.707045,-74.047018,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,6.354724,-75.23811,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.817468,-73.423472,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.8995,-73.7399,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.9011,-73.7398,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.9011,-73.7398,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.8995,-73.7399,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.9011,-73.7398,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.8995,-73.7399,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.9011,-73.7398,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.9011,-73.7398,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.9011,-73.7398,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,6.060864,-75.419956,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,-3.794538,-79.737313,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.9011,-73.7398,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.9011,-73.7398,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.9011,-73.7398,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.9011,-73.7398,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.7159,-73.8759,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.8995,-73.7399,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.9011,-73.7398,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.9011,-73.7398,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.67934,-72.17041,Nasuella,Carnivora
"Nasuella olivacea (Gray, 1865)",Procyonidae,4.39003,-72.6289,Nasuella,Carnivora
