scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Neophoca cinerea (Péron, 1816)",Otariidae,-28.518057,113.775094,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-33.870076,122.43439,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-28.8,114.6,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-30.66542,115.050754,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-26.597506,153.053701,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-35.817141,137.371875,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-32.72061,133.96809,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-32.72061,133.96809,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-32.72061,133.96809,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-35.9946,137.3166,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-32.72061,133.96809,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-32.72061,133.96809,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-34.494012,119.453194,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-34.52598,119.542446,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-34.454205,119.454689,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-34.4,119.4,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-33.8228,151.302,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-34.81125,134.7239,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-34.7729,135.03043,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-32.71933,133.96977,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-35.03477,135.97422,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-34.93455,135.8741,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-33.59464,134.76423,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-33.016,134.13112,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-34.75297,135.08166,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-33.8826,151.232,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-35.883975,137.231332,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-35.846664,137.213691,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-35.813754,137.213401,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-30.399195,114.853405,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-35.901057,137.288173,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-35.9,137.3,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-36,137.3,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-36,137.3,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-36,137.3,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-32.72,133.97,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-36,137.3,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-35.998046,137.245851,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-35.99412,137.31701,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-35.99412,137.31701,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-35.99412,137.31701,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-35.99412,137.31701,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-35.99412,137.31701,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-32.12479,133.67265,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-35.99412,137.31701,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-35.99412,137.31701,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-32.12469,133.67268,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-34.9,138.6,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-36.03169,136.778612,Neophoca,Carnivora
"Neophoca cinerea (Péron, 1816)",Otariidae,-35.99412,137.31701,Neophoca,Carnivora
