scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Neovison vison (Schreber, 1777)",Mustelidae,62.567087,11.386775,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,63.778566,8.781813,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,60.748775,11.016094,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,56.462586,12.756005,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,59.91958,15.955867,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,63.98487,17.979664,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,56.197939,12.544425,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,63.344045,12.622498,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,65.841889,21.689508,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,60.083322,10.234398,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,66.201897,13.013013,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,68.264211,14.191513,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,63.34913,10.435756,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,63.667291,8.296274,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,57.026922,-135.323543,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,44.505478,-80.229121,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,44.028439,-122.998955,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,43.633818,-79.326706,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,61.175949,10.407261,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,68.214276,14.44517,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,69.19816,19.642957,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,58.818264,5.5393,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,69.792395,23.244672,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,45.406051,-93.183332,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,41.396034,-81.202896,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,65.840455,21.689562,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,61.380359,16.085404,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,65.841889,21.689508,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,65.629957,22.258815,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,55.699694,13.152755,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,56.094325,15.858642,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,65.841889,21.689508,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,56.094325,15.858642,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,63.077039,7.597416,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,60.705628,11.10227,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,59.235332,10.241657,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,59.947758,11.007012,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,61.240003,11.497645,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,60.396423,11.234376,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,59.836383,16.126161,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,57.694709,11.811669,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,57.576049,11.961311,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,51.008148,11.008563,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,51.45298,10.923356,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,51.45298,10.923356,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,68.558494,14.745165,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,63.876608,8.638838,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,66.266156,13.189631,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,59.675916,10.748854,Neovison,Carnivora
"Neovison vison (Schreber, 1777)",Mustelidae,63.86762,8.642602,Neovison,Carnivora
