scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,68.728237,16.828491,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,77.971699,14.27776,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,78.109575,14.254027,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,78.055491,14.204044,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,78.009626,14.29269,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,78.284422,15.559396,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,78.242325,15.548355,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,78.105367,14.192923,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,78.225507,15.65468,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,79.517806,10.882413,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,78.586414,11.920724,Odobenus,Carnivora
Odobenus rosmarus rosmarus,Odobenidae,79.593356,10.948077,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,78.39615,16.843753,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,78.52399,11.897345,Odobenus,Carnivora
Odobenus rosmarus rosmarus,Odobenidae,78.917039,12.22732,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,78.275719,14.010231,Odobenus,Carnivora
Odobenus rosmarus rosmarus,Odobenidae,79.566887,10.947395,Odobenus,Carnivora
"Odobenus rosmarus divergens (Illiger, 1815)",Odobenidae,71.314116,-156.933129,Odobenus,Carnivora
Odobenus rosmarus rosmarus,Odobenidae,79.897792,11.10268,Odobenus,Carnivora
Odobenus rosmarus rosmarus,Odobenidae,79.810394,11.066979,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,78.480049,11.926201,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,78.246258,15.495094,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,67.956472,-172.754172,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,78.611369,22.741859,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,70.832852,178.939242,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,79.732201,10.992851,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,79.731946,11.002152,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,78.444904,11.892679,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,79.819783,10.734769,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,78.886928,12.438568,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,78.103717,14.263693,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,79.884181,10.196292,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,79.026276,20.961244,Odobenus,Carnivora
Odobenus rosmarus rosmarus,Odobenidae,80.517571,17.571527,Odobenus,Carnivora
Odobenus rosmarus rosmarus,Odobenidae,74.992054,-80.188026,Odobenus,Carnivora
Odobenus rosmarus rosmarus,Odobenidae,74.108035,-89.960311,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,78.062383,13.616654,Odobenus,Carnivora
Odobenus rosmarus rosmarus,Odobenidae,74.812223,-80.122324,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,77.75452,14.224598,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,78.226847,15.628323,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,77.740419,13.995662,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,58.65633,-3.2943,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,59.29072,-2.44059,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,59.38052,-2.44176,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,58.55504,-4.14995,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,78.241178,9.292524,Odobenus,Carnivora
Odobenus rosmarus rosmarus,Odobenidae,77.114887,17.476989,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,78.135339,13.682184,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,79.545366,11.614889,Odobenus,Carnivora
"Odobenus rosmarus (Linnaeus, 1758)",Odobenidae,78.247104,15.347762,Odobenus,Carnivora
