scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Otaria byronia (de Blainville, 1820)",Otariidae,-32.955781,-71.549848,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-43.323055,-65.063993,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-33.585882,-71.62388,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-42.547665,-74.149441,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-42.762431,-65.029137,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-42.762431,-65.029202,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-29.580826,-71.533899,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-29.410458,-71.355854,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-29.55019,-71.548641,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-38.646057,-73.482109,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-32.235424,-71.527564,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-42.750485,-63.62967,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-42.683528,-64.250343,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-42.683098,-64.250564,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-42.631748,-63.606051,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-42.631748,-63.606051,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-2.203564,-80.997317,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-2.203564,-80.997317,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-54.871139,-68.248533,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-42.513247,-63.598571,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-42.513247,-63.598571,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-29.033762,-71.564255,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-23.091435,-70.446963,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-23.091198,-70.447049,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-23.098501,-70.445504,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-44.02714,-73.164298,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-54.801912,-68.302951,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-36.718735,-73.107958,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-36.71003,-73.113747,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-40.805699,-64.904934,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-18.47461,-70.32152,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-13.734358,-76.397895,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-12.482609,-76.773382,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-20.211338,-70.153694,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-23.463148,-70.50665,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-39.811471,-73.250118,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-39.81154,-73.250146,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-39.81154,-73.250141,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-47.911875,-65.712812,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-47.757955,-65.940065,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-47.763132,-65.94298,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-36.710218,-73.112514,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-54.875103,-68.237683,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-47.764824,-65.942866,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-54.918316,-67.689328,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-54.871475,-68.102997,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-34.405603,-53.777437,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-34.405572,-53.777765,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-51.691814,-57.856502,Otaria,Carnivora
"Otaria byronia (de Blainville, 1820)",Otariidae,-32.038665,-52.101445,Otaria,Carnivora
