scientificName,family,decimalLatitude,decimalLongitude,genus,order
Otocyon megalotis megalotis,Canidae,-32.198379,24.514339,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-2.652016,37.260767,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,8.883615,40.0875,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-26.181912,20.750602,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,8.868623,40.064292,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-21.40852,23.797448,Otocyon,Carnivora
Otocyon megalotis megalotis,Canidae,-24.01433,27.17897,Otocyon,Carnivora
Otocyon megalotis megalotis,Canidae,-25.714298,20.401704,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-0.1173,38.1639,Otocyon,Carnivora
Otocyon megalotis megalotis,Canidae,-22.252624,23.924733,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,2.99504,35.570339,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-33.726442,18.451227,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-19.246409,23.343747,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-21.527454,23.779852,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-21.527454,23.779852,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-21.337858,23.676889,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-21.738468,23.197042,Otocyon,Carnivora
Otocyon megalotis megalotis,Canidae,-33.47307,18.882405,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-34.359534,19.671576,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-32.295508,22.453011,Otocyon,Carnivora
Otocyon megalotis megalotis,Canidae,-33.419154,19.03301,Otocyon,Carnivora
Otocyon megalotis megalotis,Canidae,-24.25656,27.97864,Otocyon,Carnivora
Otocyon megalotis megalotis,Canidae,-33.975849,21.953071,Otocyon,Carnivora
Otocyon megalotis virgatus,Canidae,8.860278,40.034579,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-25,16,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-22.642705,15.150293,Otocyon,Carnivora
Otocyon megalotis megalotis,Canidae,-19.27039,16.017275,Otocyon,Carnivora
Otocyon megalotis virgatus,Canidae,-3.950674,35.866126,Otocyon,Carnivora
Otocyon megalotis megalotis,Canidae,-34.044827,19.1638,Otocyon,Carnivora
Otocyon megalotis megalotis,Canidae,-33.293643,24.009836,Otocyon,Carnivora
Otocyon megalotis virgatus,Canidae,-2.706018,37.324377,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-2.201268,34.806722,Otocyon,Carnivora
Otocyon megalotis virgatus,Canidae,-1.101218,35.240868,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-1.5679,39.4752,Otocyon,Carnivora
Otocyon megalotis megalotis,Canidae,-32.434126,24.849585,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-24.055666,17.617909,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-34.339088,19.170392,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-34.339113,19.17043,Otocyon,Carnivora
Otocyon megalotis megalotis,Canidae,-33.419308,19.027176,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-1.576409,34.824746,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,0.418685,36.88488,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,0.418685,36.88488,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-2.692643,34.768021,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-33.462273,25.811176,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-2.993132,36.995098,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-21.507595,23.835135,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-3.205147,35.586968,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-3.205147,35.586968,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,0.34979,36.88216,Otocyon,Carnivora
"Otocyon megalotis (Desmarest, 1822)",Canidae,-26.406016,18.476257,Otocyon,Carnivora
