scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-14.621624,22.634239,Paracynictis,Carnivora
Paracynictis selousi selousi,Herpestidae,-22.9828,29.6143,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-15.8333,17.85,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-20.3,28.93,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-19.42,22.27,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-19.42,22.27,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-19.42,22.27,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-19.66667,22.26667,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-19.51667,23.866671,Paracynictis,Carnivora
"Paracynictis selousi ngamiensis Roberts, 1932",Herpestidae,-13.543232,23.104665,Paracynictis,Carnivora
"Cynictis selousi de Winton, 1896",Herpestidae,-17.8444,-64.4106,Paracynictis,Carnivora
"Cynictis selousi de Winton, 1896",Herpestidae,-17.8444,-64.4106,Paracynictis,Carnivora
"Cynictis selousi de Winton, 1896",Herpestidae,30.07,-115.42,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-15.01667,13.38333,Paracynictis,Carnivora
"Paracynictis selousi ngamiensis Roberts, 1932",Herpestidae,-16.885023,24.3,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-14.875,14.875,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-13.625,15.125,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-15.125,13.625,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-14.125,21.375,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-14.625,13.375,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-15.625,17.375,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-13.875,13.125,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-17.80531,19.625,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-11.375,17.125,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-17.125,14.625,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-15.375,13.625,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-17.80531,19.625,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-15.125,13.625,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-16.625,14.875,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-15.375,13.875,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-14.875,13.375,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-15.375,13.875,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-15.375,17.125,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-13.625,15.125,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-15.125,16.625,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-12.375,13.6875,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-15.125,13.375,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-14.875,13.125,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-14.875,13.375,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-14.375,16.375,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-16.125,15.625,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-17.125,14.875,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-12.625,16.375,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-14.875,13.625,Paracynictis,Carnivora
"Paracynictis selousi (de Winton, 1896)",Herpestidae,-14.46486,16.29473,Paracynictis,Carnivora
