scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Phoca vitulina richardii (Gray, 1864)",Phocidae,36.81325,-121.789738,Phoca,Carnivora
"Phoca vitulina richardii (Gray, 1864)",Phocidae,48.4268,-123.303983,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,59.266922,10.492484,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,70.516993,28.453283,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,69.726017,30.090095,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,59.67466,10.621635,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,63.673527,9.826545,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,59.65737,10.60657,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,60.562746,6.916614,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,58.734523,9.245353,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,63.654784,9.827704,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,59.538969,10.554064,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,58.07079,7.84841,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,59.26588,10.493625,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,58.205253,8.29587,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,66.94232,13.558569,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,59.135876,10.291423,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,59.807857,10.611376,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,59.818033,10.488586,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,70.020475,23.35732,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,59.194044,11.14732,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,59.538928,10.557918,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,54.449562,11.27738,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,56.650372,12.81188,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,57.122432,16.511772,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,55.36328,12.812356,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,56.128655,12.595836,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,57.698977,11.922548,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,56.19511,16.40171,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,57.404218,12.028001,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,56.830038,12.520548,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,55.539129,12.909536,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,55.357097,12.815141,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,56.886836,16.858018,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,56.222129,12.760039,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,56.228027,12.747552,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,55.385856,13.547969,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,57.699274,11.922396,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,57.688045,11.816861,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,56.222609,12.776244,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,56.33163,16.543725,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,57.977879,11.701185,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,57.687689,11.812163,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,57.635225,11.910116,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,59.790807,10.510181,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,57.999012,7.581934,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,59.665882,10.611709,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,59.890405,10.674043,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,62.464986,6.031891,Phoca,Carnivora
"Phoca vitulina Linnaeus, 1758",Phocidae,70.505973,28.434796,Phoca,Carnivora
