scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Phocarctos hookeri (Gray, 1844)",Otariidae,-45.660935,170.620517,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-45.929987,170.765208,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-45.866549,170.731959,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-45.768613,170.635868,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.948106,167.727014,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.891392,168.056911,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.614857,169.085833,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-50.501098,166.286262,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-50.41035,166.291033,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.944766,167.761398,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-45.692219,170.759485,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-45.960475,170.604145,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-45.677557,170.674334,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.508011,169.709158,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.458998,169.686976,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-45.684678,170.789929,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.478296,169.627432,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-45.819631,170.459792,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-45.670293,170.631645,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.534326,169.798785,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.533986,169.716747,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-45.855273,170.778982,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.467247,169.732994,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-43.659944,173.007694,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.401781,169.694107,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.435127,169.626044,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.55216,169.753978,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.445274,169.789865,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.971822,168.174096,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.627204,168.93689,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.604261,168.801697,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-45.637309,170.647464,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-45.905029999999996,170.770727,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-45.985698,170.602324,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-45.83078,170.691049,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-45.888173,170.781085,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.419587,169.757068,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.44623,169.539992,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.490491,169.679402,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.468535,169.73697,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-45.926701,170.749628,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.965453,168.089751,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.959894,168.026439,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-45.997666,170.697805,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.9,168.1,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-45.66114,170.686974,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.778578,168.834734,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.04829,170.126452,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.448955,169.764762,Phocarctos,Carnivora
"Phocarctos hookeri (Gray, 1844)",Otariidae,-46.978229,168.087439,Phocarctos,Carnivora
