scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Poecilogale albinucha (Gray, 1864)",Mustelidae,-19.331554,14.369431,Poecilogale,Carnivora
"Poecilogale albinucha (Gray, 1864)",Mustelidae,-7.815362,35.767633,Poecilogale,Carnivora
"Poecilogale albinucha (Gray, 1864)",Mustelidae,-34.053855,19.512722,Poecilogale,Carnivora
Poecilogale albinucha albinucha,Mustelidae,-34.05049,19.58648,Poecilogale,Carnivora
Poecilogale albinucha albinucha,Mustelidae,-29.480734000000002,30.235657,Poecilogale,Carnivora
"Poecilogale albinucha (Gray, 1864)",Mustelidae,-18.478,34.076,Poecilogale,Carnivora
"Poecilogale albinucha (Gray, 1864)",Mustelidae,-9.669967,33.532767,Poecilogale,Carnivora
"Poecilogale albinucha (Gray, 1864)",Mustelidae,-33.901,25.06047,Poecilogale,Carnivora
"Poecilogale albinucha (Gray, 1864)",Mustelidae,-15.39933,37.04283,Poecilogale,Carnivora
"Poecilogale albinucha (Gray, 1864)",Mustelidae,-15.4135,37.07433,Poecilogale,Carnivora
"Poecilogale albinucha (Gray, 1864)",Mustelidae,-15.4135,37.07433,Poecilogale,Carnivora
"Poecilogale albinucha (Gray, 1864)",Mustelidae,-9.185767,33.6807,Poecilogale,Carnivora
"Poecilogale albinucha (Gray, 1864)",Mustelidae,-2.8666,29.4,Poecilogale,Carnivora
"Poecilogale albinucha (Gray, 1864)",Mustelidae,-2.8666,29.4,Poecilogale,Carnivora
"Poecilogale albinucha doggetti Thomas & Schwann, 1904",Mustelidae,-9.2,25.85,Poecilogale,Carnivora
"Poecilogale albinucha doggetti Thomas & Schwann, 1904",Mustelidae,-9.2,25.85,Poecilogale,Carnivora
"Poecilogale albinucha doggetti Thomas & Schwann, 1904",Mustelidae,-0.1,34.75,Poecilogale,Carnivora
"Poecilogale albinucha doggetti Thomas & Schwann, 1904",Mustelidae,0.333333,29.466667,Poecilogale,Carnivora
"Poecilogale albinucha doggetti Thomas & Schwann, 1904",Mustelidae,-0.783333,29.283333,Poecilogale,Carnivora
"Poecilogale albinucha doggetti Thomas & Schwann, 1904",Mustelidae,-1.4,29.366667,Poecilogale,Carnivora
"Poecilogale albinucha doggetti Thomas & Schwann, 1904",Mustelidae,-2.100352,29.059752,Poecilogale,Carnivora
"Poecilogale albinucha doggetti Thomas & Schwann, 1904",Mustelidae,-1.178863,29.683015,Poecilogale,Carnivora
"Poecilogale albinucha doggetti Thomas & Schwann, 1904",Mustelidae,-2.100352,29.059752,Poecilogale,Carnivora
"Poecilogale albinucha (Gray, 1864)",Mustelidae,0.692991,34.180853,Poecilogale,Carnivora
"Poecilogale albinucha (Gray, 1864)",Mustelidae,-11.36667,24.31667,Poecilogale,Carnivora
"Poecilogale albinucha (Gray, 1864)",Mustelidae,-17.8444,-64.4106,Poecilogale,Carnivora
"Poecilogale albinucha doggetti Thomas & Schwann, 1904",Mustelidae,-2.5,28,Poecilogale,Carnivora
Poecilogale albinucha albinucha,Mustelidae,-30,26,Poecilogale,Carnivora
"Poecilogale albinucha (Gray, 1864)",Mustelidae,5.8431,-62.5339,Poecilogale,Carnivora
"Poecilogale albinucha (Gray, 1864)",Mustelidae,5.8431,-62.5339,Poecilogale,Carnivora
"Poecilogale albinucha doggetti Thomas & Schwann, 1904",Mustelidae,-1.28333,29.683331,Poecilogale,Carnivora
"Poecilogale albinucha doggetti Thomas & Schwann, 1904",Mustelidae,-1.28333,29.683331,Poecilogale,Carnivora
"Poecilogale albinucha doggetti Thomas & Schwann, 1904",Mustelidae,-1.28333,29.683331,Poecilogale,Carnivora
"Poecilogale albinucha doggetti Thomas & Schwann, 1904",Mustelidae,-1.28333,29.683331,Poecilogale,Carnivora
"Poecilogale albinucha doggetti Thomas & Schwann, 1904",Mustelidae,-1.3,29.700001,Poecilogale,Carnivora
"Poecilogale albinucha doggetti Thomas & Schwann, 1904",Mustelidae,-1.3,29.700001,Poecilogale,Carnivora
