scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Potos flavus (Schreber, 1774)",Procyonidae,17.492302,-99.807778,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,3.568251,-76.611366,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,-0.738708,-77.547793,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,-0.109125,-80.189504,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,19.41341,-96.929489,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,17.485318,-92.088294,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,9.683617,-83.07232,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,-3.179003,-78.311529,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,17.091044,-89.071031,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,16.950247,-90.951475,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,19.414559,-97.040863,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,17.095706,-89.068292,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,9.118547,-79.696061,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,8.691845,-83.667412,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,21.006055,-87.132393,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,-0.541111,-77.6275,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,-0.589962,-77.881339,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,5.619039,-75.837514,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,8.523943,-83.38918,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,19.990102,-88.828411,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,9.433775,-84.147933,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,17.366999,-100.457215,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,14.028811,-87.071267,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,9.39434,-84.149738,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,9.627716,-82.687686,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,9.602293,-82.694809,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,9.427399,-84.163224,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,10.415797,-84.122039,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,5.003136,-76.00226,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,19.529489,-97.087497,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,16.945973,-88.399968,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,-8.687885,-74.272488,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,9.009507,-79.592696,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,4.713135,-75.643718,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,11.100842,-74.072107,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,20.681623,-87.021022,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,-0.066634,-78.7718,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,11.100963,-74.072061,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,10.402227,-84.107528,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,11.10076,-74.071997,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,20.475339,-86.871329,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,17.890515,-90.362203,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,11.101019,-74.071949,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,11.100886,-74.07193,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,16.62018,-90.631077,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,10.41593,-84.122543,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,17.095763,-89.067942,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,10.306534,-84.813063,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,0.062176,-78.682022,Potos,Carnivora
"Potos flavus (Schreber, 1774)",Procyonidae,-0.061783,-80.077356,Potos,Carnivora
