scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Procyon lotor (Linnaeus, 1758)",Procyonidae,42.514915,-71.32988,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,42.408054,-71.329642,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,28.514995,-81.188722,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,43.698208,-80.24478,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,42.437484,-71.124289,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,42.270153,-89.821083,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,42.269287,-89.821404,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,34.989473,-85.331161,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,28.382774,-81.476201,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,29.057525,-111.037446,Procyon,Carnivora
Procyon lotor lotor,Procyonidae,40.6864,-73.513603,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,38.025517,-122.517582,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,38.79832,-77.643845,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,42.035781,-124.257438,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,33.988622,-112.322525,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,51.457108,13.58717,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,37.87786,-122.275721,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,32.864039,-117.191179,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,44.713037,-73.343406,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,26.12406,-80.2257,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,30.627291,-97.627878,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,32.864116,-117.191083,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,42.260827,-71.945776,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,15.778655,-96.209624,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,32.901272,-117.233994,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,21.596482,-88.157898,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,40.362256,-120.6222,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,15.778655,-96.209624,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,30.610578,-97.736844,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,40.113211,-80.702572,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,43.090154,-89.434641,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,15.778655,-96.209624,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,15.778655,-96.209624,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,15.778655,-96.209624,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,42.498745,-71.476028,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,35.029813,-85.135912,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,30.63818,-97.61958,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,34.309278,-119.09645,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,32.849893,-97.476605,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,29.395246,-96.608316,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,9.39735,-84.16918,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,41.447535,-72.703261,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,32.821266,-98.040328,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,44.887633,-72.617309,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,15.778655,-96.209624,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,26.228012,-80.188172,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,36.619592,-121.937897,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,31.257422,-81.440588,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,32.863093,-117.199798,Procyon,Carnivora
"Procyon lotor (Linnaeus, 1758)",Procyonidae,32.939942,-117.129119,Procyon,Carnivora
