scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-28.882648,23.318254,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-18.92819,18.800175,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-34.025002,22.067778,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-0.1173,38.1639,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,8.877382,40.075021,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-32.165909,25.453162,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-29.91386,17.495088,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-24.10261,27.40675,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,0.478652,36.957155,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-2.675533,35.072257,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-2.793253,35.05434,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-25.851788,16.442589,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-32.333933,22.525789,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-24.738768,27.92675,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-0.0881,38.19,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-29.90523,17.58297,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-31.341679,26.770864,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-32.494167,22.826944,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-1.806927,37.222391,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-27.296129,22.394256,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-23.237738,18.389986,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-23.237738,18.389986,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-23.237738,18.389986,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-21.477209,23.274231,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-26.331234,16.56909,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-29.956224,17.590506,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-21.505342,23.836212,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-31.870934,19.279798,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-24.46965,18.07251,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-33.96804,22.09428,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-32.803031,18.687461,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-4.08621,36.111198,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-23.237738,18.389986,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-19.000452,16.383877,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,0.099376,37.065468,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-28.945222,27.393309,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-28.945209,27.393324,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-1.441016,34.988534,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-20.820319,16.621866,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-19.914347,24.789108,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-28.8618,24.8173,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-20.813774,16.65271,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,0.784472,37.510861,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-26.707202,19.378572,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-23.0406,29.7598,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-33.60072,20.022576,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-24.4759,16.302,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-19.118653,16.086272,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-24.475602,16.301756,Proteles,Carnivora
"Proteles cristata (Sparrman, 1783)",Hyaenidae,-24.478785,16.336474,Proteles,Carnivora
