scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,3.796001,-58.617953,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-0.44724,-76.525493,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-17.167651,-56.440187,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-12.600459,-69.252917,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-0.591709,-76.503238,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-0.510226,-76.553651,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-11.840223,-71.509799,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-11.830684,-71.363123,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-0.162702,-76.080678,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-0.737609,-76.013961,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-11.964518,-67.889813,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-17.381399,-56.610182,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-12.384763,-70.780975,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-9.456613,-55.979983,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-16.544396,-56.515626,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-17.249057,-56.536833,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-12.541909,-70.095784,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-17.307252,-56.706101,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-17.39906,-56.653873,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-9.563369,-55.995262,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-17.32592,-56.696665,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-17.329224,-56.71241,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-17.343769,-56.754583,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-17.245243,-56.686098,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-17.278561,-56.686744,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-17.302634,-56.779269,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-17.253518,-56.767075,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-17.213146,-56.76165,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-2.695047,-60.912552,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-17.351169,-56.773652,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-17.70721,-57.352826,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-17.311207,-56.778405,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-12.668083,-69.098589,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-11.853036,-71.395255,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-12.017079,-71.249229,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,0.022056,-71.002083,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-0.549417,-76.372256,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-11.927146,-71.225411,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-12.26543,-70.994813,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-17.215988,-56.711967,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-17.200664,-56.687793,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-17.259594,-56.766186,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-9.524056,-55.881416,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-0.48988,-76.517571,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-17.269358,-56.721242,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-0.466582,-76.230346,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-17.308016,-56.721512,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,4.459217,-52.183867,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,-12.826672,-69.233873,Pteronura,Carnivora
"Pteronura brasiliensis (Gmelin, 1788)",Mustelidae,5.3778,-70.8648,Pteronura,Carnivora
