scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Suricata suricatta (Schreber, 1776)",Herpestidae,-25.766193,20.000005,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-26.774367,20.63076,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-25.766723,20.000085,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-26.194892,20.551115,Suricata,Carnivora
Suricata suricatta suricatta,Herpestidae,-27.207251,30.080882,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-31.425006,24.743642,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-23.974747,17.97565,Suricata,Carnivora
Suricata suricatta suricatta,Herpestidae,-29.0493,24.481272,Suricata,Carnivora
Suricata suricatta suricatta,Herpestidae,-26.27251,20.788312,Suricata,Carnivora
Suricata suricatta suricatta,Herpestidae,-26.149735,20.526824,Suricata,Carnivora
Suricata suricatta suricatta,Herpestidae,-25.766267,20.001187,Suricata,Carnivora
Suricata suricatta suricatta,Herpestidae,-27.373668,30.18315,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-22.285852,19.82468,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-25.767107,19.999964,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-24.75969,20.002015,Suricata,Carnivora
Suricata suricatta suricatta,Herpestidae,-24.807291,20.059039,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-22.481035,24.026418,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-22.411129,24.893736,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-25.903011,28.305652,Suricata,Carnivora
Suricata suricatta suricatta,Herpestidae,-25.902541,28.305926,Suricata,Carnivora
Suricata suricatta suricatta,Herpestidae,-33.43947,25.791363,Suricata,Carnivora
Suricata suricatta suricatta,Herpestidae,-32.156988,25.47397,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-22.151888,14.306853,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-20.612398,24.925297,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-21.332547,25.736118,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-26.531036,28.16278,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-33.458191,25.804175999999998,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-30.142547,17.829732,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-28.596897,20.333971,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-30.168322,17.803238,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-28.589346,20.269775,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-30.091673,17.589626,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-30.091673,17.589626,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-25.900695,28.322445,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-21.787323,15.512701,Suricata,Carnivora
Suricata suricatta suricatta,Herpestidae,-27.192475,30.08945,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-26.468723,20.615345,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-26.40786,20.604687,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-16.629225,12.377195,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-29.966363,17.585596,Suricata,Carnivora
Suricata suricatta suricatta,Herpestidae,-25.765944,20.000197,Suricata,Carnivora
Suricata suricatta suricatta,Herpestidae,-25.765905,20.000017,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-33.496027,25.772553,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-33.554414,25.797272,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-27.388291,30.180924,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-33.596258,22.123644,Suricata,Carnivora
Suricata suricatta suricatta,Herpestidae,-33.52107,22.263513,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-27.342972,18.604542,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,50.181686,6.805535,Suricata,Carnivora
"Suricata suricatta (Schreber, 1776)",Herpestidae,-24.090473,17.646685,Suricata,Carnivora
