scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Taxidea taxus (Schreber, 1777)",Mustelidae,33.932384,-112.694344,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,24.882146,-100.641895,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,33.932319,-112.694313,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,33.933479,-112.696576,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,38.040053,-122.800577,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,38.040018,-122.800778,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,32.932368,-112.704528,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,35.344518,-119.350701,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,26.069229,-97.155448,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,38.036586,-122.800725,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,37.90924,-122.608347,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,30.100045,-98.926615,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,31.558504,-107.946422,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,46.974005,-117.875687,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,37.013551,-120.972232,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,37.364319,-122.254924,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,46.533677,-118.517348,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,32.915218,-102.35497,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,32.122264,-110.712508,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,38.072806,-122.585198,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,33.157096,-98.998312,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,45.414042,-84.817874,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,38.041136,-122.801278,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,37.173304,-120.607262,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,36.898354,-121.236184,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,40.865158,-113.867067,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,26.584846,-99.149061,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,32.947294,-116.375352,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,37.160217,-122.359559,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,35.341703,-115.562836,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,35.871941,-120.832159,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,42.252625,-88.904646,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,41.920552,-88.767163,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,41.920552,-88.767163,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,41.920552,-88.767163,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,41.920552,-88.767163,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,31.512002,-100.362751,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,41.920552,-88.767163,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,44.630591,-110.444174,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,41.220184,-105.642375,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,43.559959,-116.290585,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,45.129263,-99.264205,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,30.902028,-103.072089,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,37.071126,-121.546719,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,32.673355,-103.178871,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,36.762867,-120.843986,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,35.067412,-100.951716,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,33.175775,-116.099067,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,37.741972,-121.799319,Taxidea,Carnivora
"Taxidea taxus (Schreber, 1777)",Mustelidae,33.135714,-116.30004,Taxidea,Carnivora
