scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Ursus arctos Linnaeus, 1758",Ursidae,40.123849,44.778734,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,42.476862,-73.235778,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,35.694014,-83.476389,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,31.336159,-110.330247,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,35.134568,-118.460122,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,25.22035,-100.809084,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,39.352047,-120.203483,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,43.824883,-72.576029,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,33.960843,-92.581693,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,33.96833,-92.603328,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,33.958207,-92.571789,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,46.080348,-87.385246,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,34.411612,-117.968892,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,35.852467,-121.31869,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,35.853146,-121.320103,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,35.853295,-121.322269,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,35.855699,-121.324247,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,35.454994,-82.556291,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,35.134568,-118.460122,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,29.225715,-103.284659,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,42.543278,-122.844038,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,29.204097,-81.8273,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,38.733876,-120.740091,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,45.648967,-76.191425,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,31.70743,-110.875787,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,47.393062,-91.208801,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,34.522151,-119.839809,Ursus,Carnivora
"Ursus arctos horribilis Ord, 1815",Ursidae,44.257154,-109.535327,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,34.180483,-117.882084,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,35.672888,-76.581362,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,41.692394,-73.363216,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,39.017308,-78.825567,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,25.778744,-100.292429,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,58.812958,-110.41837,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,42.093925,-122.5605,Ursus,Carnivora
"Ursus arctos Linnaeus, 1758",Ursidae,49.193352,18.920779,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,25.540615,-100.664199,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,37.764612,-81.166161,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,38.781694,-78.255503,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,46.604358,-68.411653,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,45.332533,-76.375017,Ursus,Carnivora
Ursus americanus americanus,Ursidae,41.923609,-72.924822,Ursus,Carnivora
"Ursus arctos Linnaeus, 1758",Ursidae,49.198985,19.099964,Ursus,Carnivora
"Ursus arctos Linnaeus, 1758",Ursidae,49.202443,19.103311,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,42.87527,-72.815589,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,25.234153,-100.939281,Ursus,Carnivora
"Ursus arctos Linnaeus, 1758",Ursidae,45.987925,15.288188,Ursus,Carnivora
"Ursus arctos Linnaeus, 1758",Ursidae,49.206031,19.120306,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,28.99857,-102.53402,Ursus,Carnivora
"Ursus americanus Pallas, 1780",Ursidae,38.61758,-120.820892,Ursus,Carnivora
