scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,45.303267,28.305904,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,45.303979,28.242142,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,44.942549,28.361075,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,44.043912,28.215508,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,42.924145,103.8595,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,44.891413,28.803113,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,44.490165,28.539164,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,42.3773,105.192483,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,45.019718,29.187908,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,43.55001,104.03759,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,44.897551,28.360013,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,45.208275,28.685756,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,45.122538,28.365349,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,44.895973,28.486627,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,44.760146,28.546316,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,45.030113,28.55357,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,44.940968,28.487788,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,33.214633,35.765193,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,32.976023,35.29406,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,33.07614,35.220265,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,32.953439,35.341095,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,32.833109,35.792687,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,33.090551,35.141003,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,32.600553,35.519522,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,31.757648,35.024769,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,32.590628,35.521617,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,32.127249,34.941389,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,33.17,35.75,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,32.490705,34.963744,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,32.490705,34.963744,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,31.931045,34.757949000000004,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,32.258111,34.997259,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,32.33659,35.013012,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,31.6,34.57,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,31.602908,34.575119,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,31.88,34.91,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,31.880097,34.915672,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,33.010142,35.415024,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,33.01,35.38,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,31.54,34.63,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,31.544562,34.63343,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,32.99,35.41,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,32.99,35.41,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,32.996615,35.416061,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,44.676417,27.976314,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,32.72,35.08,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,31,34.77,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,32.95,35.08,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,32.19,35.18,Vormela,Carnivora
"Vormela peregusna (Güldenstädt, 1770)",Mustelidae,32.194253,35.182993,Vormela,Carnivora
