scientificName,family,decimalLatitude,decimalLongitude,genus,order
"Zalophus californianus (Lesson, 1828)",Otariidae,25.945688,-111.352958,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,32.715568,-117.222839,Zalophus,Carnivora
"Zalophus wollebaeki Sivertsen, 1953",Otariidae,-0.438102,-91.145915,Zalophus,Carnivora
"Zalophus wollebaeki Sivertsen, 1953",Otariidae,-0.923674,-89.466056,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,36.978897,-121.716311,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,32.846564,-117.275636,Zalophus,Carnivora
"Zalophus wollebaeki Sivertsen, 1953",Otariidae,-0.773157,-90.356523,Zalophus,Carnivora
"Zalophus wollebaeki Sivertsen, 1953",Otariidae,-0.874424,-89.749732,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,32.850136,-117.272271,Zalophus,Carnivora
"Zalophus wollebaeki Sivertsen, 1953",Otariidae,-0.844497,-89.788365,Zalophus,Carnivora
"Zalophus wollebaeki Sivertsen, 1953",Otariidae,-0.880418,-89.630402,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,32.850165,-117.271575,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,32.850123,-117.272764,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,33.654911,-118.007043,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,37.810584,-122.411294,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,35.403028,-120.86888,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,35.33316,-120.86427,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,37.810614,-122.411328,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,32.720399,-117.220249,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,32.849747,-117.271858,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,43.394009,-124.287754,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,23.306124,-109.564925,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,22.988241,-109.841643,Zalophus,Carnivora
"Zalophus wollebaeki Sivertsen, 1953",Otariidae,-0.983593,-89.715228,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,36.591248,-121.96425,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,40.393527,-124.373554,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,22.944903,-109.826033,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,22.877075,-109.898046,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,22.813268,-109.926294,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,37.810775,-122.411194,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,22.984175,-109.819796,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,32.851193,-117.27354,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,32.851167,-117.273472,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,32.851112,-117.273888,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,32.850892,-117.273937,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,37.810555,-122.411538,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,33.963372,-118.457305,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,33.720327,-118.154543,Zalophus,Carnivora
"Zalophus wollebaeki Sivertsen, 1953",Otariidae,-0.92316,-89.640167,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,36.959549,-122.01835,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,36.613393,-121.883469,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,24.24437,-110.252006,Zalophus,Carnivora
"Zalophus wollebaeki Sivertsen, 1953",Otariidae,-0.82358,-89.421543,Zalophus,Carnivora
"Zalophus wollebaeki Sivertsen, 1953",Otariidae,-0.871376,-89.559171,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,34.417746,-119.632522,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,37.810769,-122.41131,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,36.642014,-121.951533,Zalophus,Carnivora
"Zalophus wollebaeki Sivertsen, 1953",Otariidae,-0.819856,-89.668132,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,36.814831,-121.789237,Zalophus,Carnivora
"Zalophus californianus (Lesson, 1828)",Otariidae,24.371715,-110.237764,Zalophus,Carnivora
